レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★9,schranz,Absurd Gaff [Another],siromaru / Mentalstock,13987,8774 (62%),179778,12.85
SP★9,HappY PoPcorN(AFOTHER7),★LittlE HearTs★ (AFOTHER),ねこみみ魔法使い / obj: black train,12269,9743 (79%),144739,11.79
SP★9,kirby dirge [crazy7],"ピアノ協奏曲第１番""蠍火""（なんでも吸い込むピンク色のための）",fether,11594,8589 (74%),88605,7.64
SP★9,Chaos fantasia,AXION [INSANE],Magic Mash Man / New Genuine Magicial Girl / obj:Paz_L,11438,8207 (71%),158634,13.86
SP★9,INFINITY,MooN -SP ANOTHER-,Is-m BGA:coda,10349,6170 (59%),95800,9.25
SP★9,TRANCE,Lapis [FRIDAY],SHIKI / obj: JEYSON,10208,7782 (76%),115168,11.28
SP★9,Sound Track,ERIS （Another+）,Grand Thaw / obj:Risky*,10076,8492 (84%),70749,7.02
SP★9,Classical,千年女王 [Hyper],しらいし,10037,6179 (61%),124356,12.38
SP★9,Game Music,ＤＱⅢ　Battle -Normal-,あやめ♪ obj:カンダタ,9417,6855 (72%),137574,14.6
SP★9,GAME MUSIC,shooting_moon (Phantasm),sun3,9359,7532 (80%),99148,10.59
SP★9,t r a n c e,A c i - L - A,裏 吉 川,9097,7111 (78%),88703,9.75
SP★9,HAPPY HARDCORE,Blue-White Crazybits [ANOTHER-],234 (obj.mp),8859,6573 (74%),81658,9.21
SP★9,VALKYRIE PROFILE II,Alicia [SP Black-A],nmk / obj:Sena,8203,7180 (87%),54160,6.6
SP★9,RAVE,Party 4U (MANIAQ),cranky / obj: black train,8194,6938 (84%),56099,6.84
SP★9,テクノ,スプラッシュコード－０６ [ANOTHER7],ねこひめたん,8053,6194 (76%),109993,13.65
SP★9,A-Rock,架空ユリカゴ　 [SABOTHER],Hate × Ritsu × Salita/さ Douglas × Mentalstock,7786,5725 (73%),107322,13.78
SP★9,ENCORE,MANIERA (SABOTHER),D/さ,7673,6250 (81%),110841,14.44
SP★9,romantix,E reviver -imaging you- (MANIAC),美月 正 (obj.mp),7539,5876 (77%),59330,7.86
SP★9,TECHNO POP,KISS CANDY FLAVOR [HARDEST],カラフル・サウンズ・ポート/差分　赤い人,7492,6990 (93%),73980,9.87
SP★9,GAME MUSIC,Lunatic of the Full-Moon (EX7),sun3,7387,6109 (82%),60612,8.2
SP★9,trance,Noah's Ark (another7),MASA / y,7296,6121 (83%),41679,5.71
SP★9,Gabba,Wild Clown (7key-SH),Symphonian,7264,5095 (70%),68803,9.47
SP★9,EPIC TRANCE,A BEAUTIFUL SKY -OB style- MANIAQ,recognize m. / helix / blacktrain,6853,5654 (82%),45156,6.58
SP★9,Overture / IDM,VALLISTA [SP-RX ANOTHER],削除 / Mentalstock obj by sound piercer,6475,5886 (90%),49043,7.57
SP★9,HARD RENAISSANCE,BABYLON [7ANOTHER+],SHIKI / obj:Risky*,6425,5283 (82%),43683,6.79
SP★9,World Orchestra,Pangaea [air mix],sasakure.UK / air,6127,5092 (83%),42923,7
SP★9,RENAISSANCE,S [ANOTHER],D.J.Nero,5948,5209 (87%),50869,8.55
SP★9,Drum 'n' ambient,その斯くも美しき紅に,天音 / obj:SUKIMA,5742,4759 (82%),40394,7.03
SP★9,Progressive Fantasia,愛と煩悩と輪廻と常識の極彩世界 [皿と乱打と階段と縦連の同時押世界],sound piercer feat.Ritsu / obj.swa mov : kkkfff2 & G-2000,5740,5176 (90%),47820,8.33
SP★9,Occultic/7key EX,Bloody Malie -Ex-,-45,5439,4294 (78%),44520,8.18
SP★9,Rezive Out,Strahv -Encore-,Feryquitous Sennzai / Dazzle / Cymby,5385,4870 (90%),43733,8.12
SP★9,GAME MUSIC,ティアオイエツォン (Extra7),sun3 / BGA:Johnny,5210,4159 (79%),48403,9.29
SP★9,RAVE,Luv 5 Dancer [EXHAUST],The Dear Sexys/obj.poly,5062,4609 (91%),33235,6.56
SP★9,Cyber hymn breaks,Lucifer,Chitose / obj : LTFE♪,5004,4554 (91%),34157,6.82
SP★9,Psychedelic Trance,Uncle Arabian (7-Extra),maxXx65535,4853,4195 (86%),30529,6.29
SP★9,Renaissance Core,Shade of Gloria [F],tcheb / mov:Roaring Flame / Illust:ゆーま。 obj:Fender,4850,4222 (87%),44768,9.23
SP★9,BRAVE,After Burner [Departure],ねこかぶりサイクロン(xi+ねこみりん) feat.えみゅう。 obj:K-SPIN+Lapis,4800,4153 (86%),45433,9.46
SP★9,SPRING CORE,Dandelion Sparkle!! [FB],p_d Artwork : ふりっと★ / obj:Fender vs BAECON,4737,4052 (85%),45520,9.6
SP★9,Future Bass,Homura [AKEMI],Puru / kkkfff2 obj.B_K,4656,4309 (92%),29593,6.35
SP★9,HAPPY HARDCORE,Merry-Go-Round [El Dorado],Zekk mov : L.Ferdinant / obj : MOYAP,4639,3779 (81%),33675,7.25
SP★9,砂利,にゃ [あずにゃざ→],Yu^ta にゃ,4609,3830 (83%),40565,8.8
SP★9,Hi-NRGTECH Trance,CO5M1C R4ILR0AD [ON3 M0RE 3XTR4],kanone / obj.swa,4541,3949 (86%),35288,7.77
SP★9,schranz,symbolic gear [fk7],siromaru/obj by 蒲焼さん太郎,4149,3668 (88%),24922,6
SP★9,FREEDOM HARDCORE,niKu [0209Another],TOMA v.s. DJ Saw-Low / respect for 29,3772,2977 (78%),25365,6.72
SP★9,ArtCore,DataErr0r [ZOI],Music : Lunatic Sounds / BGA : Photonskyto obj:SUZUKAZEΛ,3623,3341 (92%),21029,5.8
SP★9,Pop Rock,Castorpollux [MANIAQ],sound piercer / obj.siokaze,3530,3181 (90%),23529,6.66
