レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★17,Euro Rave,Imperishable Night 2006 for D,篠螺悠那 feat. 鯛の小骨,8430,5543 (65%),206497,24.49
SP★17,HAPPY HARDCORE,FREEDOM DiVE [GALAXY],xi / air,7998,4190 (52%),162841,20.36
SP★17,HAPPY SWEETS CORE,Poppin' Shower -sugarless-,P*Light あ,7097,3795 (53%),123643,17.42
SP★17,Trance core,Xecus - X -,SHIKI/fity / obj:A-zert,6639,4411 (66%),126360,19.03
SP★17,東方紅魔郷　～ the Embodiment of Scarlet Devil.,亡き皇女の為のセプテット [NORMAL],チャチャ/zun,5892,4046 (68%),70994,12.04
SP★17,ルネッサンスコア,アズール <鬼畜>,メスクラ (エヴァたん＆メコたん)/yokosuka,5589,4176 (74%),57946,10.36
SP★17,Sixteen Beat,おジャ魔女でBANBAN！(Pop-mix) -Airther-,猫蟹丸 / air,5319,3458 (65%),94737,17.81
SP★17,TRANCE,kyrka [MANIAC],MILK / air,5270,3997 (75%),52323,9.92
SP★17,Ancient beats,Ancient Memory (Phantasm),ZUN (Arr.sun3),5236,3799 (72%),53388,10.19
SP★17,DRUM'N'FORTE,Ereshkigal (FOOLISH),ABE3,5189,3380 (65%),59133,11.39
SP★17,Nu Style Gabba,G.N. [H],keyc,5181,3083 (59%),50747,9.79
SP★17,Dolphan's Era 29/7key,Empress of Raizze [QUANDARY7],-45 / わなな・BANI / 、,4833,2972 (61%),72648,15.03
SP★17,ELECTRANCE,gazer [MANIAQ],scytheleg / obj.siokaze,4670,3825 (81%),87120,18.65
SP★17,TECHNO,SIREN OF DAWN (MANIAC),イズミケイ /obj:A-zert,4667,3025 (64%),43020,9.21
SP★17,SEVERAL DIGITS,LivedaM (death),kurenaissance,4597,3090 (67%),70162,15.26
SP★17,euro beat,la noche (MANIAQ),NAGI / black train,4522,2552 (56%),70402,15.56
SP★17,FREEFORM HARDCORE,The Destructive Genesis -ALITHER-,Synchronous Vision (MONO&1B) / ALICE*,4334,2791 (64%),55001,12.69
SP★17,finy jazzy pop'n(7key),恋わずらい -shiny party floor- GOD,ねこみみ魔法使い,4236,3051 (72%),39242,9.26
SP★17,freeform,We are the xxxx,ikaruga_nex feat. Salita / obj:秘密,4234,3186 (75%),61440,14.51
SP★17,[riphop],パネルでポン/フレアのテーマ [皿],tarolabo,4065,2110 (51%),66412,16.33
SP★17,HARDCORE,Extreme Z4 (Aggressive HC mix) [yumether],remixed. by gmtn. /obj:夢瑠 Graphic : koavenit (invert colors),3967,2685 (67%),61139,15.41
SP★17,HAPPY HARDCORE,NO NIGHT MORE SOUL! [HARDEST],ねこみりん /差分　赤い人,3270,2535 (77%),39153,11.97
SP★17,古伝新韻二十打ち,白山比咩神 (FOOLISH),DWMω,3249,2020 (62%),34104,10.49
SP★17,HAPPY HARDCORE,SPARKLiNG F!ZZ [カシスオレンジ],kuroburger,3235,2662 (82%),33590,10.38
SP★17,孤哮,白狼,うまるつふり,3177,2718 (85%),31610,9.94
SP★17,PowerStomp,pumpkin man [>w<],sa10 / obj : 0samil0,2895,2275 (78%),26851,9.27
SP★17,e-criture,Inherited World [INSANE],sak Movie:猫太郎 / obj:BAECON,2872,2095 (72%),24249,8.44
SP★17,GOTHIC DANCE,絶対チェックメイト領域 -LiALIZE-,LiA,2635,2222 (84%),18910,7.17
SP★17,Progressive House,Meaning of Existence [OVERHEAT],TKR/obj_jakko BGA:seizan,2559,2239 (87%),18436,7.2
SP★17,Future Bass,Planisphere [ANOTHER+],Yu^ta,2185,1797 (82%),19505,8.92
