レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★14,TRANCE,Angelic Snow -extreme-,Est / air,9775,5620 (57%),235908,24.13
SP★14,HAPPY,DRAGONLADY (7key（・３・）),Nankumo / BGA：Cube3 / obj：（・３・）,8507,4798 (56%),114805,13.49
SP★14,Trance core,Xecus [Extream],SHIKI/fity,8472,5543 (65%),180657,21.32
SP★14,-,上海紅茶館 (LUNATIC),NEKI←T + Est / yuyuko,8188,4664 (56%),95190,11.62
SP★14,AKIBA ドS POP,ねぇ？メイドさんはみんな忠実だと思う？ [SABOTHER7],かおみりん feat.こもも×みゆ/さ,7880,5313 (67%),156259,19.82
SP★14,IR #23,orion ring -IR-,daiji&sa10,7414,5924 (79%),87468,11.79
SP★14,P s y,G e n g a o z o [29Another],455-38B / 29,7355,4602 (62%),65203,8.86
SP★14,RAVE,Cross breed -EXTRA-,sun3 vs EXCALIpUR / BGA:Johnny / y obj.sun3,6809,3904 (57%),94709,13.9
SP★14,東方紅魔郷,メイドと血の懐中時計 [BEGINNER-β],zun/MIDI：彩希　晶/編集：wanco,6767,3617 (53%),70460,10.41
SP★14,Musette,Flesvelka [Resurrection],Grand Thaw / obj:夢瑠,6709,5167 (77%),56977,8.49
SP★14,HARD DANCE,SAMBISTA -sarambista?-,DOT96 /obj.D-BLUE,6428,4312 (67%),80644,12.54
SP★14,techno,Cynic -drrrr-,6yen / G obj:WAYA,6346,5002 (78%),76958,12.12
SP★14,HyperEuroBeat(GOD),Last! Least! Regrets!! (GOD),beatMARIO / tomsfir / black train,6331,4323 (68%),99097,15.65
SP★14,[IDM],κανων -φ-,tarolabo / obj:あーさん,5970,4313 (72%),59949,10.04
SP★14,TRANCE EURO,gradation (MANIAQ),NEKI←T＋Frost_Shrike,5845,3686 (63%),93534,16
SP★14,trance,far in the blue sky... [29Another],saikoro / 29,5776,3534 (61%),65966,11.42
SP★14,drum&synth,Fate/fete (MANIAC+),ZUN(Arr.sun3) (obj.mp),5714,3796 (66%),52106,9.11
SP★14,romantix,E reviver -imaging you- (MANIAC+),美月 正 (obj.mp),5518,3666 (66%),57497,10.41
SP★14,trance core,月童 - Awaking!!神奈 [KANNER],上杉うた NOTES:少佐,5511,4290 (77%),49614,9
SP★14,ブロークントイボックス,Utopiangela (Cartoon Channel 203),infinity Lovewn☆,5139,3583 (69%),48381,9.41
SP★14,ベアトランス II,幸せなマリアへ -ベアトランスMix-_SPanother_ex,remixed by which's slave gmtn / H.R,4924,3730 (75%),79627,16.17
SP★14,HappY PoPcorN(maniaq7),★SweeT DiscoverY★ (MANIAQ),chocolate max / black train,4865,2790 (57%),57444,11.8
SP★14,東方風神録,芥川龍之介の河童　〜Candid Friend [NORMAL],zun bms:乙UN,4631,3847 (83%),65222,14.08
SP★14,Machine Sequencer,Platinum [sANOTHER],DJ.kari / obj.swa,4544,3318 (73%),106306,23.39
SP★14,ソウシソウアイ,恋愛シンドローム [yumether],佐久間まゆ / 星輝子 / 成宮由愛,4536,3673 (80%),45940,10.12
SP★14,Theme,Crystal Wind [UV],maxXx65535 / obj:arnain,4460,3632 (81%),42344,9.49
SP★14,11,Apollo [1969.07.16],xelloscope / obj.swa,4388,3649 (83%),36683,8.35
SP★14,Touhou Arrange,INFINITE BEATS [S+J],P4koo / obj.siokaze vs jakko,4364,3721 (85%),32248,7.38
SP★14,Progressive Breaks,platinum garden -maniac-,paraoka / BANZAI,4047,3072 (75%),27877,6.88
SP★14,echolocation,エーデルワイス [HARDEST],黄泉路テヂーモ / 差分 赤い人 BGA:鑓田,4035,3512 (87%),27390,6.78
SP★14,TRANCE CORE,Cinderella Cage -Trancecore Mix- [transient],loz,3918,2963 (75%),37106,9.47
SP★14,BOKKEN FUSION,eth剣 [ 7Key_Clover ],BOKKEN PINK / obj：mitsuba BOKKEN DODOME+MAGENTA,3888,3375 (86%),32339,8.31
SP★14,FOOTWORK,Fatal Pulse [breath],Basso / obj: Dragon,3675,3155 (85%),18298,4.97
SP★14,Tech Dance,Gamegame (bms edit plus+),s-don / 篠乃ちよ / obj.swa,3394,2820 (83%),22258,6.55
SP★14,Piano Progressive Metal,The Lamia 170 [Requiem],w_tre / Mer Obj.Triforce,3351,2766 (82%),29378,8.76
SP★14,OVERKILL,High-Priestess [EXTRA],Luxion / obj:チャチャ,3338,2383 (71%),30500,9.13
SP★14,ILLEGAL GOTHIC SCHRANZ,堕楽の園 [EXTASIM],witch's slave Graphic by Est / obj:0war1a VS saaa,3251,2784 (85%),24078,7.4
SP★14,piano,mom [sorry.],w_tre obj:LAPIS,3232,2819 (87%),22913,7.08
SP★14,chipstyle toypop,Galaxy in Toybox [HARDEST],梅干茶漬け / 差分 赤い人,3202,2942 (91%),16983,5.3
SP★14,Doomsday,The ArcticLight,-45,3085,2561 (83%),18451,5.98
SP★14,PROGRESSIVE POP,紅い月夜に花の乱 [8分咲き],AKITO / mixed by TOSH / obj.siokaze,2942,2581 (87%),16865,5.73
SP★14,Mini4 69,爆走中年 〜ENDLESS RUN〜 (かっとべ♂マグナム),クロウ＆ヤイバ BGA：クロウ ILLUST：アイオーン LYRICS：ロム obj：進化の超譜面,2535,2322 (91%),18853,7.43
SP★14,plant,The SunLight [U],,2491,2183 (87%),16375,6.57
