レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★11,tribal beat,夕凪の丘 -Ex-,美月 正 / obj : E.S.T.,9281,6540 (70%),152220,16.4
SP★11,SYMPHONIC DANCE SPEED /// 7KEYS Lv100,ポケットモンスター ブラック・ホワイト 四天王戦,Arranged by Y.W,9135,7703 (84%),97874,10.71
SP★11,Techno,Trinity [Extra],TAK/A-zert,8331,5891 (70%),130654,15.68
SP★11,uppertune,旧地獄街道を行く 〜反逆のパルスィ〜 [MANIAC],上杉うた / air,8032,6821 (84%),74912,9.32
SP★11,HyperEuroBeat(MANIAQ),Last! Least! Regrets!! (MANIAQ),beatMARIO / tomsfir / black train,7993,6424 (80%),66714,8.34
SP★11,Techno,analog sky (Another7),knot / iimode-do /A-zert,7946,5934 (74%),77488,9.75
SP★11,SuperNOVA BEAT,"%E3%83%96%E3%83%B3%E3%82%BF%E3%83%B3 〜Falling in ""B"" mix〜 (樹海)",((LMB))  obj:WAYA,7764,5336 (68%),143274,18.45
SP★11,Trance,STARDUST CITY -- Maniac,SHiNKA / remixed by lavalse (obj.mp),7636,6182 (80%),82602,10.81
SP★11,TRANCE,Central GRAY (^ω^),P.E. / obj:BOKKI,7531,5878 (78%),72944,9.68
SP★11,TRANCE,zodiac -Extra-,G.G obj:mattun,7509,5603 (74%),66243,8.82
SP★11,DarkBreaks,Alastor [MANIAC7],鳩 / obj:A-zert,7154,5316 (74%),76981,10.76
SP★11,NOSTALGIC STAR TRANCE 2,Betelgeuse -orion7-,きのこ〜ず(G.G with Anne-Ninne),7035,5085 (72%),81695,11.61
SP★11,kirby pop,☆ さくらなみきのかぜ ☆ (plus system#4 palette style),#ねここ14歳(obj:ばみゅ),6922,4711 (68%),58830,8.49
SP★11,,Ena (Radio edit) -vaca-,-45/obj:NWN,6832,4942 (72%),64610,9.45
SP★11,Act / Wars,Black Lair [SPADA],削除 feat. void / 浪漫映像制作倶楽部 / obj : BAECON,6803,6353 (93%),35772,5.25
SP★11,HYPER TECHNO,Maharaja Trance -(‘皿‘)-,Queen P.A.L. / obj:arufis,6759,4816 (71%),66635,9.85
SP★11,HYPER TRANCE,Fly Again (bms edit) [Rea'du],Junk feat.Salita obj:kneas,6520,5047 (77%),61155,9.37
SP★11,2step,#74 -7Another+-,naotyu- / obj  Risky*,6326,4527 (71%),64532,10.2
SP★11,tribal euro,BB BLOW -EX-,onoken/y,6287,4612 (73%),66996,10.65
SP★11,Energetic Trance,Infinite Galaxy [HARDEST],NS-Factory×deadblue238×hi-low/差分 赤い人,6100,5245 (85%),55574,9.11
SP★11,,天叢雲剣 [Maniac],しらいし /Obj:月門,6030,5146 (85%),62915,10.43
SP★11,hard rock,B-T [7keys-maniac+],the KB feat.takoP,5922,4606 (77%),50933,8.6
SP★11,progressive jazz,Sicilian Kiss [29Another],snowdrop / 29,5847,4625 (79%),35178,6.01
SP★11,大和金属,斬 -名刀斗璃流（糞七）v1.1-,腋亦 /A-zert,5778,4949 (85%),36189,6.26
SP★11,Happy Hardcore,Meeting and Separation -Ex-,Gatia/さ,5700,4486 (78%),48102,8.43
SP★11,game music,CHRONO TRIGGER 〜世界変革の時〜 [HARDEST],mattaku/差分　赤い人,5652,4527 (80%),60972,10.78
SP★11,HARD DANCE,Lambda Driver [ANOTHER+],SPELL BREAK/obj_jakko HEART BREAK,5427,4876 (89%),42775,7.88
SP★11,J-UK HARDCORE,Ravers Rave Anthem II [nova],vorbis / obj:nov,5361,5102 (95%),38939,7.26
SP★11,IRREGULAR HI-BREAK,ヒメタイプ [F],ノクティス・江口・チェラム obj:Fender,5083,4624 (90%),53530,10.53
SP★11,SPEEDCORE,HARDCORE MACHINEGUN [drrrTHER],ETIA./obj_jakko,5074,4056 (79%),40166,7.91
SP★11,progressive_concert,Wind -whirlpool-,oxygen / obj:あーさん,4651,3525 (75%),37375,8.03
SP★11,ジャジービート,ClowN CrowN [sLunatic],daisan / obj.swa,4636,4343 (93%),21644,4.66
SP★11,Electro Dance House,Scorpion Dance [XERTHER],litmus*/obj_xert* mov : litmus* & L.Ferdinant / obj : xert*,4551,4023 (88%),29321,6.44
SP★11,Neon,Le Reve -Luminous Dream-,mossari obj:K-SPIN,4486,3725 (83%),34069,7.59
SP★11,LOUNGE HOUSE,退屈シンクアロング [発汗],Hate × tarolabo / obj:発汗BMS,4424,3735 (84%),26740,6.04
SP★11,Oriental Trance,TEN,2X / obj.XYZ,4288,3824 (89%),28250,6.58
SP★11,Neo traditionalism,スーパーイザナギオブジェクト [Li],er obj:LIEF,4261,3937 (92%),31899,7.48
SP★11,Crossbreed,BIAS (ふつう),syzfonics / obj:NoName,4249,3496 (82%),39751,9.35
SP★11,kawaiicore,Smiling '+(人'v`●)+',櫟井唯 / 岡野佳 obj:秘密,4132,3858 (93%),32240,7.8
SP★11,PRELUDE,Lasting Dream (FOOLISH),ω,3977,3625 (91%),21389,5.37
SP★11,BETRAYAL,F13 [END],Judah BGA:Lucifer obj:1/8,3808,3364 (88%),23531,6.17
SP★11,THE LAST HOPE,Cryonix [F],sky_delta obj:Fender,3799,2999 (78%),35483,9.34
SP★11,NEUROTECH MIX,contact force sense(remix) [F],TO-MAX remixed by LU obj:Fender,3627,3257 (89%),19099,5.26
SP★11,Scene,Stargazer [流星雨が降る夜に],Lime / A,3403,2876 (84%),48432,14.23
SP★11,STG,BULLET HELL [EX],はがね obj:monaka,2560,2236 (87%),21281,8.31
