レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★7,ELECTROSHOCK,DENGEKI Tube [12ボルト],BACO / obj:yuu,12968,10045 (77%),240244,18.52
SP★7,DANCE SPEED,Satori 〜3rd EyEs (bms edit) [ANOTHER],BMS:くっちー / BGA:あっきー,12472,8763 (70%),209148,16.76
SP★7,NU-STYLE GABBA,ひつぎとふたご 〜狂気ノ宴〜,plastic feat.サキト/obj BUN×BUN,12360,9933 (80%),138960,11.24
SP★7,SYMPHONIC SCHRANZ,PEACE BREAKER [ANOTHER],Omnipotenx,12002,8438 (70%),162319,13.52
SP★7,HARD TECHNO,Messier 333 (ANOTHER7),sun3 / BGA:Johnny,11864,8174 (68%),140188,11.81
SP★7,ルネッサンスコア,アズール <ANOTHER>,メスクラ (エヴァたん＆メコたん),11791,8257 (70%),122487,10.38
SP★7,progressive breaks,Her Majesty [Another+],naotyu- / obj:Risky*,11660,9897 (84%),98690,8.46
SP★7,ハッピーケアガール,白の魔法の光,こどものなみだ,11526,9992 (86%),156757,13.6
SP★7,DRUM'N BASS,DTD Emperor [ANOTHER],ルゼ,11242,7693 (68%),99183,8.82
SP★7,J-EuroPop,Love's Rebirth '06 -7another-,小宮真央 with Na+ (obj.mp),11219,9251 (82%),81097,7.22
SP★7,Happy Hardcore,竹取はっぴー -AIRTHER-,ZUN (Arr.sun3) / air,11121,8522 (76%),229558,20.64
SP★7,techno pop,夢人形 -Extra dream-,-45 obj Kz / objectpakuri:arufis,10286,8697 (84%),92751,9.01
SP★7,ARTCORE,Ascension to Heaven [EXPART],xi / obj Risky*,10110,8801 (87%),81818,8.09
SP★7,EMOTIONAL HARDCORE TECHNO,Calamity Fortune [ANOTHER],ZUN remixed by LeaF Movie:Optie,9807,8125 (82%),106683,10.87
SP★7,DRUM'N'FORTE,Ereshkigal (ANOTHER),ABE3,9611,7136 (74%),85753,8.92
SP★7,progressive,Jack-the-Ripper◆ [29Another],sasakure.UK / 29,9450,6052 (64%),91991,9.73
SP★7,JP-SPIRITUAL POP,桜華月 (A3),AKITO obj;江澤,9290,6964 (74%),89471,9.63
SP★7,オカルトさんとビーツくん-EX-,どうか私を殺して下さい,LUNEの右手と悠里おねぇちゃんの左脚,9149,7655 (83%),74170,8.1
SP★7,丑三ツノ刻[ANOTHER7],紅染十三番街道,L_Z,9140,7567 (82%),78040,8.53
SP★7,JAZZ FUSION,.357 Magnum (EXTREME),xi,8959,5722 (63%),79944,8.92
SP★7,WORLD / ELECTRONICA,Beyond The Alice (Phantasm7),天音 /A-zert,8924,7027 (78%),74066,8.29
SP★7,battle concerto,ピアノ狂騒曲第壱番「滅宴」 (another7),にんにくマニア,8901,7274 (81%),50901,5.71
SP★7,現代音楽,サーカス・ギャロップ -normal-,Marc-Andre' Hamelin,8845,7443 (84%),109525,12.38
SP★7,Euphoric Vocal J-Trance,world devoid of you (fairydust radio edit // SP MANIAC),void feat. Hiroko,8728,7306 (83%),54726,6.27
SP★7,Happy Summer Memories,ting ting [XRATED],陳 正平 / air,8625,7580 (87%),84779,9.82
