レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★16,SUKIMA TOUR,Yakumo >>JOINT STRUGGLE -隙間-,くっちーvsあっきー / obj:SUKIMA,8113,5064 (62%),132070,16.27
SP★16,t r a n c e,A c i - L - G O D,裏 吉 川 / obj: black train,8058,4846 (60%),256416,31.82
SP★16,GOTHIC HARDCORE,furioso melodia [yumether],witch's slave / obj:夢瑠 Graphic : koavenit,7483,5468 (73%),94296,12.6
SP★16,センチュリー,flowers,mist-rose,7060,4138 (58%),137073,19.41
SP★16,東方妖々夢,人形裁判　〜 人の形弄びし少女 -3rd stage-,由蘭 / ALICE*,6203,4042 (65%),89222,14.38
SP★16,Piano Rush,日溜りの街−あ！− (EXTREME),猫蟹丸 / obj: black train,5789,4241 (73%),78893,13.62
SP★16,Rosso Phantasma,Ophelia [HARDEST],Lime /差分　赤い人,5646,4361 (77%),104243,18.46
SP★16,FREEFORM,Quark [MANIAC],Hate vs Brilliance /obj: A-zert,5618,3038 (54%),88297,15.71
SP★16,techno pop,夢人形 -SP MANIAC-,-45 / kz /arufis / air,5503,3619 (65%),87240,15.85
SP★16,HARDCORE ULTIMATE,KRAKEN [Clover],HEXAHEDRA / obj：mitsuba,5381,3953 (73%),88454,16.43
SP★16,Unhappy Hardcore,Z -Another7-,m,5379,3181 (59%),68718,12.77
SP★16,high jazzy pop,going on -spring wind- [29Another],ねこみみ魔法使い / tomsfir / 29,5345,3424 (64%),70271,13.14
SP★16,GOTHIC HARDTRANCE,幸なる旋律-the solitary melody- -福音-,xenothium remixed by gmtn. obj:あーさん,5163,4085 (79%),47513,9.2
SP★16,SawAmbient,5.1.1(ReMix) [GoD],猫蟹丸 / obj:black train,5125,3330 (64%),104159,20.32
SP★16,Japanese Rave,Born [29Another],Ninja Action Team / 29,5124,2729 (53%),59265,11.56
SP★16,[m9]steps(7key),うみいろ、そらいろ。 -nonsensical-,ねこみみ魔法使い / obj : qxea,4891,3680 (75%),58780,12.01
SP★16,,チョウの標本 [Maniac7],Process 2.3.1. / obj.D-BLUE,4890,3915 (80%),56224,11.49
SP★16,Tyrantbeat,Wasabi 暴君,Ninja Action Team / 29,4830,2932 (60%),43837,9.07
SP★16,progressive jazz,Sicilian Kiss (dead end mix),snowdrop obj;江澤,4672,2968 (63%),36205,7.74
SP★16,HYBRIDIZED J-CORE,IKAROS [ODYSSEA],ETIA. feat. Jenga Movie: HDLV / obj: swa,4112,3163 (76%),73107,17.77
SP★16,LIFE STREAM,Aragami [天沼矛],xi iimo / Obj. Triforce vs LAPIS,4036,3395 (84%),41348,10.24
SP★16,NU STYLE KASSA,撃墜-HELL AIR FORCE- [yumether],bj.HaLo / obj:夢瑠,3625,3072 (84%),35060,9.67
SP★16,東方紺珠伝,兎は舞い降りた [HARD],ZUN bms:乙UИ obj:yuyuko,3567,3111 (87%),26343,7.38
SP★16,ETHEREAL ELECTRONIC,Quickening 2 the RED -Sephirothic-,Loki-mitsu + Mentalstock あ,3549,2762 (77%),28340,7.98
SP★16,Chronocore,TYR [Quartet],Rune Caster / obj.swa BGA : orto,3519,3191 (90%),22489,6.39
SP★16,Crab Music,特効薬はカニピラフ (顰蹙),セナ/差分naiya BGA：Milk_tya Illust：神奈川わか奈,3484,2806 (80%),29224,8.38
SP★16,HAPPY HARD RENAISSANCE,わがままプリンセス [禁じられた遊び],er / Obj : 悪戯お姫様,3456,2638 (76%),35845,10.37
SP★16,HARD TRANCE,Bicolor Spirit [BLACK or WHITE?],urimu / obj.swa Movie:RAIDEN,3447,2646 (76%),35480,10.29
SP★16,HAPPY HARDCORE,Creamy Sky [BRIGHT],BTB Mov : mzet :-p & OLB / obj:BAECON,3325,2871 (86%),34901,10.49
SP★16,(FREEFORM) HARDCORE,undefined [EX],MONO BGA / BGI : 乙青商会/obj:仙人掌の人,2528,2132 (84%),15899,6.28
SP★16,FRENCHCORE,Welcome To The Electronic World!! [SGVsbG8sIHdvcmxkIQ==],Laur obj:0war1a VS 秘密,2074,1806 (87%),12073,5.82
