レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★15,GOA TRANCE,星の器〜STAR OF ANDROMEDA [ALITHER],ZUN (Arr.sun3) / ALICE*,9235,5930 (64%),136434,14.77
SP★15,SOARLY TRANCE POP,東の国のFLYING PAPARAZZI！ -Lunatic+-,樋奈月みつ (sequence by dj SIGMA / air),7787,5548 (71%),119569,15.35
SP★15,HAPPY,Time files [EX],xi,6778,4264 (62%),156441,23.08
SP★15,Classical Trance,Odin [グングニル],しらいし,6319,4760 (75%),104790,16.58
SP★15,RAVE,"REWD ""B159 mix"" // (kei-unmeasured 7)",wint,5702,3707 (65%),87412,15.33
SP★15,TRANCE,snowflake -exquisite 2008- another,Est,5694,3752 (65%),48785,8.56
SP★15,FREEFORM,LUNASA the Stormcauser [MANIAC7],ZUN (Remixed by EXCALIpUR) / air vs A-zert,5640,3402 (60%),93000,16.48
SP★15,東方妖々夢,幽雅に咲かせ、墨染の桜 [NORMAL],zun bms:乙UN,5588,4008 (71%),107259,19.19
SP★15,E.G.S.,先天性エゴサ依存症候群 [Hide],ねこみりん feat.みゆ / obj:秘密 Illust:わんびぃ,5368,4478 (83%),81990,15.27
SP★15,hip hop,compressed eyes -くそみそテクニック-,A.I.TOYS  obj:ab_tkkz,5326,3521 (66%),40235,7.55
SP★15,ENERGETIC TRANCE,Endymion [Selene],P.E. / 海示 / obj:夢瑠,5178,3409 (65%),55810,10.77
SP★15,Goa Trance Techno,OAA-γ [HEAVEN],dj sept-em / air,5108,3582 (70%),65358,12.79
SP★15,Speedtechno (another+),夏影-summer lights- [HI-Speed Edition],beatMARIO / BAECON,5001,3985 (79%),49403,9.87
SP★15,pathos nrg,Legend of Seeker [HARDEST],remixed celas / 差分 赤い人,4936,3984 (80%),56719,11.49
SP★15,RATIONAL PUNISHMENT,Wizdomiot [ANOTHER],ZUN remixed by LeaF Movie:Optie,4899,3925 (80%),44890,9.16
SP★15,PROGRESSIVE TRANCE,ε-δ (FOOLISH),ABE3,4806,3486 (72%),51457,10.7
SP★15,shuffle pop'n,りりくろ！ [Randomize],ねここうもり #ねここ14歳 / obj.sialua,4804,3816 (79%),52471,10.92
SP★15,Grand Finale,天空の城ヴェリエル [RUSH],うえつ氏 / obj_じゃっこ氏,4739,3835 (80%),64359,13.58
SP★15,HAPPY HARDCORE,Endless Dream [29Another],SHIKI // BGA:あかくらげ & M.H / 29,4302,2493 (57%),41746,9.7
SP★15,rotterdam house tatse,"ROTTELER'S HOME ""seven bottakuri edit""",clap stick,4111,2725 (66%),39859,9.69
SP★15,Progressive,L9 -落とし穴 final edition-,paraoka / Kz,4083,2678 (65%),60167,14.73
SP★15,HI SPEED-TRANCE POP,ハイパーミラクルシューティングスター,er / obj.XYZ,3759,3016 (80%),37750,10.04
SP★15,NORSE MYTHOLOGY,Valhalla [EX],xi / Note:薄杏,3611,2962 (82%),23264,6.44
SP★15,Cyber Symphony,Last Selection [MONDE],xellox vs daisan / 140 / obj.swa,3473,2898 (83%),24411,7.02
SP★15,OMNIVERSE,事象の地平  [事件の展開],wa. / obj. Limite,3437,2803 (81%),39383,11.45
SP★15,Celtic Fantasia,Fairytale (Esimolp),Chitose obj:秘密,3344,2545 (76%),25286,7.56
SP★15,Tribute,"Developers, Developers, Developers, Developers! [F]",Snack obj:Fender,3100,2766 (89%),16988,5.48
SP★15,PSYCHEDELIC,紫陽花の忘れ物 [Poison],ルゼ obj:秘密,3033,2539 (83%),21088,6.95
SP★15,shuffle pop'n,りりりくろ！！ [Abusive],まもののむれ obj:ctc,3007,2561 (85%),19638,6.53
SP★15,Grayscale,Grisaille -Labyrinth-,Nego_tiator (movie : Fiz) obj:vy,2816,1865 (66%),29600,10.51
SP★15,techno,Fastraffic [7key EXTREME],HOUJIROU / obj :0e5r,2739,1811 (66%),30105,10.99
SP★15,Hi-Tech Psy Trance,Vantablack {color: #000000;},siqlo BGA:出前 {background-color: #ffffff;},2636,2424 (91%),16756,6.35
SP★15,TECHNO,JUNGLEFEVER (Kattobi Remix) [BIOGORILLA7],awi / obj:れもんるり,2600,1789 (68%),26670,10.25
SP★15,Artcore,天 [J],Aglaia(Re:gats& vs. Nego_tiator) / A BGA:Fiz,2285,1906 (83%),15093,6.6
SP★15,BROKEN ARTCORE,Lepontinia -THE LAST PLANET-,pr.s obj: MineC24,2274,2078 (91%),13179,5.79
