レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★10,HARD NRG,Angel dust [7key//Maniac],LV.4 (obj.mp),13850,9748 (70%),324007,23.39
SP★10,APOCALYPSIS JOHANNIS,Parousia [ANOTHER],xi,11814,8176 (69%),127875,10.82
SP★10,Happy Hardcore -7 AFO-,"Little ""Sister"" Bitch",t+pazolite,11305,7198 (63%),174614,15.44
SP★10,ReQuiEm tRanCe,End Time -Extra-,Cres obj:mattun,10378,6002 (57%),128943,12.42
SP★10,Psychedelic Trance,Brain Analysis [7KEYS ANOTHER],BACO / bga : kody,10282,6105 (59%),164795,16.02
SP★10,European Trance,aliceblue (Radio Edit) (SP EX++),syatten / air,10162,7785 (76%),115299,11.34
SP★10,J-EURO,CHASER [EX],SHIKI,9854,7727 (78%),131011,13.29
SP★10,Trance core,月時計　Last・Dial (MANIAC),ZUN(Arr.sun3) / air,9816,7180 (73%),125693,12.8
SP★10,RENAISSANCE HARDCORE,Halcyon [PLANETUNE],xi / obj:ねぷ子,9487,7708 (81%),97305,10.25
SP★10,TRANCE -Fantasm-,Fantasmagoria -隙間-,MONO / obj:SUKIMA,9415,7647 (81%),127887,13.58
SP★10,BATTLE IMAGING /// 7KEYS BOSS,Pokemon battle imaging - No.3,Y.W,9173,7562 (82%),84403,9.2
SP★10,スペランツァ,月と狼と砂糖菓子,campanellina,9046,7207 (79%),114825,12.69
SP★10,kirby pop,☆ さくらなみきのかぜ ☆ foon7,#ねここ14歳(obj:Playerβ),9004,6347 (70%),101113,11.22
SP★10,RENAISSANCE HARDCORE,Halcyon [ANOTHER+],xi / obj:Risky*,8880,6512 (73%),92559,10.42
SP★10,t r a n c e,A c i - L - An...um...,裏 吉 川 / obj:arufis,8683,6156 (70%),90734,10.44
SP★10,HAPPY HARDCORE,ラス・リグ (---),sun3,8470,6638 (78%),82274,9.71
SP★10,drum&synth,Fate/fete (MANIAC),ZUN(Arr.sun3) (obj.mp),8361,7153 (85%),60079,7.18
SP★10,RENAISSANCE,Ruins Ray (Assaultics),kurena,8245,6763 (82%),75062,9.1
SP★10,hard nrg,水晶世界 〜Fracture〜 [Insane],秋山 澪/obj_jakko Notes:平沢 憂,8148,6326 (77%),143706,17.63
SP★10,tance pop,Flowers (802 edit),daiji+lobsak remix aki,7865,6806 (86%),53035,6.74
SP★10,trance,夏夜のノスタルジア (7KEY-MANIAC),MASA / air,7828,6280 (80%),53919,6.88
SP★10,Euro Rave,Imperishable Night 2006 [+2],篠螺悠那 feat. 鯛の小骨 / ck,7736,6207 (80%),81722,10.56
SP★10,trance core,Moonless Night (7KEY-MANIAC+),MASA (obj.mp),7723,5600 (72%),123116,15.94
SP★10,Trancepop,Cry-for BMS Mix- [7KEYS Maniac],源屋 (obj.mp),7721,5834 (75%),49982,6.47
SP★10,東方妖々夢,幽雅に咲かせ、墨染の桜 [NORMAL-],zun bms:乙UN,7674,6562 (85%),65278,8.5
SP★10,TRANCE REQUIEM,SUPERNOVA [EX],BACO,7440,5938 (79%),69535,9.34
SP★10,Nostalgic Trance,Endless Journey [7key//End],LV.4/A-zert,7284,5545 (76%),61029,8.37
SP★10,テクノポップ(EX),PopCoRian -EX-,なおきち / obj:arufis,7261,5404 (74%),64939,8.94
SP★10,TRANCE,The Formula [Rea'du],Junk / obj:kneas BGA : YARITA,7182,5559 (77%),66622,9.27
SP★10,ELECTROSHOCK,phyla (SABOTHER),Est/さ,7171,5540 (77%),81212,11.32
SP★10,Techno,drivin'FTR [7keys EX],Yamajet BGA:cyclia,7151,5254 (73%),49108,6.86
SP★10,Asian Breaks,Continent Storm [ANOTHER7],SHOCK.C,7146,5943 (83%),53295,7.45
SP★10,kirby pop,mytht lu cltte [29Another],otokaze / 29,7131,5595 (78%),49158,6.89
SP★10,wahoo pop,dreamy traveler [NIGHTMARE7],ノア,6891,5429 (78%),46803,6.79
SP★10,LAMENT,Merry Christmas Mr.Lawrence,sasakure.UK obj;江澤,6852,5612 (81%),59928,8.74
SP★10,Happy HardCore,That's the style!! (MODEL PS7 OMHC inspire),nez / mew,6507,5022 (77%),50707,7.79
SP★10,ANTHEM EUPHORIA,Leviathan (SP HEXAEMERON+),cittan* / obj.ejl6,6379,5775 (90%),50669,7.94
SP★10,d'n'b,Vlll -Lachesis-,Yusuke Takeuchi /+-,6376,4860 (76%),44115,6.91
SP★10,RAVE / HARD DANCE,Jack o' Lantern [UltimateRAVE],anubasu-anubasu/obj_jakko BGA by 出前,6245,4816 (77%),68573,10.98
SP★10,Progressive Fusion,L99 (BGA Remake) -EX-,naotyu- / iimode-do/さ,6185,5506 (89%),38173,6.17
SP★10,EUROBEAT,私のヒトミ [Na],nmk feat.橘花音 obj:naiya,6079,5427 (89%),71003,11.68
SP★10,MINIMAL,remote control⇒,Is-m & muramasa,6033,4228 (70%),71366,11.82
SP★10,HARD RENAISSANCE,PUPA [LAPITHER],モリモリあつし bga.HALLPBE.S / obj.LAPIS vs sne,5822,5267 (90%),56666,9.73
SP★10,J-Rock,IRREPLACEBLE THINGS [NANATHER],yassu feat. 小宮真央 one goat / 奈那樹,5820,4985 (85%),56940,9.78
SP★10,EMOTIONAL TRANCECORE,Ultimate Weapon [F],TetraElemental obj:Fender,5425,4755 (87%),52399,9.65
SP★10,CHINCORE,ちんこ音頭2012 [sabunnn],くっちー / obj.siokaze,5311,4599 (86%),35336,6.65
SP★10,SYMPHONIC BREAK BEATS,夢、幻。 [7_cloudy],NIKITA / misokabocha / obj. Cloudy Boy,5232,4792 (91%),34860,6.66
