レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★21,Break Core,Plastic Mind -狂気の人形師-,ZUN/arr.みょん / iimode-do / かげきち / ALICE*,4608,2268 (49%),86347,18.73
SP★21,LOVELY HIGHSPEED,Love & Justice [EXTREME],フロン / ラズベリル / obj: black train,4132,2460 (59%),153797,37.22
SP★21,Happy,SunnyShinyRing -For Expert-,みここ ＆ 虹野ひかり,4099,2067 (50%),80860,19.72
SP★21,HAPPY HARDCORE,GaRaKuTic Dream (garbage),NEKI←T,4021,1779 (44%),113465,28.21
SP★21,ARTCORE,Ascension to Heaven -maniaxi-,xi,3890,2149 (55%),67370,17.31
SP★21,FULL ON,ZENITHALIZE [i],姉ヶ崎 寧々 / obj:(i) BGA : photonskyto,3853,2240 (58%),77634,20.14
SP★21,SPEED TEK,unquenchable,dj Extrose,3774,1912 (50%),54794,14.51
SP★21,Prog Pop,The Lady Is A Trump [ANOTHER+],Damjoy&ほくとしちせい obj:mfmf,3620,1917 (52%),72944,20.15
SP★21,パンドラボックス[鬼],ZEUS,ルゼ,3448,1404 (40%),45389,13.16
SP★21,J-CORE,Say A Vengeance [INFERNO],ETIA. feat.Jenga/ 差分 赤い人 deadblue238 / 篠乃ちよ,3411,2170 (63%),65401,19.17
SP★21,trance,44river [nox],-45 / obj : cieu,3156,1893 (59%),37955,12.02
SP★21,INFINITY,MooN -SP NIGHTMARE-,Is-m / air BGA:coda,3074,1491 (48%),39104,12.72
SP★21,shuffle,あめふりこねこ [29Another],ねこみみ魔法使い / 29,3064,1443 (47%),39198,12.79
SP★21,Crystal Trance,Moon-gate [DELAYMASTER],Music:しらいし/ 差分　赤い人,3041,2087 (68%),51959,17.08
SP★21,click house,カラフル・サウンズ・カッター (EX),カラフル・サウンズ・ポート/さ,2878,2195 (76%),33554,11.65
SP★21,DRUM'N BASS,Revenger [(^^)EXTRA],keyc,2730,1674 (61%),65437,23.96
SP★21,CRYSTAL TECHNOLOGY,CHMR -Automata-,TEKINA / obj:夢瑠,2626,1585 (60%),40701,15.49
SP★21,Intelligence Arts,Artificial Rose [INFERNO],メアリー/差分 赤い人,2478,1796 (72%),33521,13.52
SP★21,TECHNO,res extensa [Monsther],adamthix / obj:Monsta,2393,1377 (57%),48585,20.3
SP★21,HAPPY HARDCORE,失望Choco (・ω・),LeaF/さ,2381,1564 (65%),42731,17.94
SP★21,TENTATIVE,lest (FUNERAL),碧,2298,1678 (73%),29696,12.92
SP★21,DARKFEAR,Lucifuge Rofocale (^ω^),L-Mys/obj:BOKKI,2263,1292 (57%),43688,19.3
SP★21,4096,Synthesized Fortress -伝説から神話へ-,M /obj:BAECON,2254,1676 (74%),28849,12.79
SP★21,HARD TECH,絶対的共依存 -Codependence-,Hope / obj:sarao3,2249,1639 (72%),24705,10.98
SP★21,Continuous,exists Uniquely [GOD],Lipschitz,2135,1664 (77%),30972,14.5
SP★21,Techno,iterated [INFINITE],litmus*,2125,1439 (67%),27723,13.04
SP★21,Hard Mystic,Singing of Night birds [HEAVEN],Ark-Z  Illustration by 春雨 / obj:BAECON,2118,1546 (72%),25755,12.16
SP★21,TECHNO POP,Baby Baby Frenzy,er / mikasa,2101,1731 (82%),17952,8.54
SP★21,㌍㌢,トココ21 [funny],妻コロッケ / obj:firi.,2063,1426 (69%),23624,11.45
SP★21,GABBASTEP WALTZ,Skull & Witch [黒色破壊光線],kenzoooo illust:みらん / 先生:魔想志津香,2019,1576 (78%),24483,12.12
SP★21,TECHNO,new earth [terra nova],er obj:HCB,1922,1650 (85%),14956,7.78
SP★21,PRELUDE,Lasting Dream (KOOKY),ω,1896,1287 (67%),23804,12.55
SP★21,HAPPY HARD RENAISSANCE,わがままプリンセス [DX],er / Ds,1885,1061 (56%),25759,13.66
SP★21,S/2013 J 1,Little Wizard -imaginary satellite-,Yosk! obj:緒方智絵里 vs 秘密,1880,1367 (72%),30725,16.34
SP★21,J-ROCK,蓄積×フラストレーション  [縦連×オブストラクション],q/stol ft. rebecca / obj:BAECON,1841,1305 (70%),18945,10.29
SP★21,bigbeat,witchcraft -Ultima-,paraoka / BGA ers obj:vy,1820,1314 (72%),23536,12.93
SP★21,Techno,永劫の沙漏 -Permanent+-,ATEMAK / obj:Elehis,1605,1251 (77%),22329,13.91
