レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★18,HARD NRG,Angel dust [7key//Maniac+],LV.4 (obj.mp),7367,4027 (54%),126650,17.19
SP★18,Hardcore,真・千年女王 [yumether],Shiraishi / obj:夢瑠,7275,4222 (58%),157735,21.68
SP★18,ボルケーノ,volcanic,DETRO,6092,2818 (46%),111706,18.33
SP★18,HAPPY HARDCORE,約束 -HappyHyperStarmiX- (MANIAQ),beatMARIO / obj: black train,6015,3755 (62%),106324,17.67
SP★18,MYSTIC SEQUENCER,冥界帰航 -ALITHER-,ZUN(Arr.sun3) / ALICE*,5675,3721 (65%),81219,14.31
SP★18,SOARLY TRANCE POP,東の国のFLYING PAPARAZZI！ -IR-,樋奈月みつ　obj:TONO,5404,2557 (47%),82540,15.27
SP★18,EPIC TRANCE,AutumnBreeze for Expert,Grand thaw,5391,4056 (75%),73722,13.67
SP★18,synth techno,Endeavor -ALITHER-,ZUN(Arr.sun3) / ALICE*,5227,2930 (56%),88048,16.84
SP★18,EUROBEAT,図書室のエルザ [FOX],橘花音 かなえゆめ composed by nmk / Notes:キラ Illustration:かぜっと,5166,3685 (71%),211392,40.91
SP★18,PRELUDE,Retroactive Rain (MANIAC),Musical Masterpiece/ obj:GN,4999,3679 (73%),67447,13.49
SP★18,GAME MUSIC,shooting_moon (*R*),sun3/obj.Rize,4722,2721 (57%),88664,18.77
SP★18,ゆるふわボッサ/ゆるふわハウス,午後のこいしちゃん [Philosophy7],er,4544,3079 (67%),49071,10.79
SP★18,Happy Hardcore,Showguts (吉凶相交),Ninja Action Team,4243,2524 (59%),60157,14.17
SP★18,TECHNO,Astish Carmine -EX-,Est feat. NEKI / obj:あーさん,4203,2475 (58%),47524,11.3
SP★18,TRANCE REQUIEM,SUPERNOVA -vaca-,BACO / obj:NWN,4109,2812 (68%),64725,15.75
SP★18,HAPPY,macaron (Amaretti+),Est / obj:あーさん,4103,2473 (60%),58486,14.25
SP★18,テクノ,スプラッシュコード−０６ [MANIAC7],ねこひめたん / ミュウたん,4068,2909 (71%),76118,18.71
SP★18,GOODPUMP,GOODTEK [SA],EBIMAYO OBJ : ランダマイザ,3507,2720 (77%),53525,15.26
SP★18,EPIC TRANCECORE,* Crow Solace * [85%],m108 / obj : lemon_aided BGA : 砂糖天麩羅 / シキイチル,3490,2629 (75%),47010,13.46
SP★18,A-POP,オトゲラヴ！ -発狂END-,ねこみりん feat.小宮真央×みゆ×えみゅう。 Movie:kkkfff2 / Illust:永山ゆうのん,3259,2447 (75%),42945,13.17
SP★18,Breakthrough,Dreadnought [Fragarach],Mastermind(xi+nora2r) iimo / Obj. LAPIS vs Triforce,3150,2235 (70%),35352,11.22
SP★18,Gothic Hard Dance,Magus Logos [HARD],sa10 obj:yuyuko,2790,2244 (80%),23113,8.28
SP★18,IMAGINARY FLOWER,ATHAZA [INSANE],LeaF Movie:To7,2743,2004 (73%),24921,9.08
SP★18,IDM,Kreuz [Jesus†Christus],sky_delta / obj.swa,2731,1943 (71%),41956,15.36
SP★18,crossover orchestra,Amphisbaena [Fallen Heavens],光吉猛修の兄 obj:Fender vs 秘密,2702,2220 (82%),22766,8.42
SP★18,CHAIN UP,dimension block ＾＾,Is-m / obj:BOKKI BGA:sta,2659,1864 (70%),31516,11.85
SP★18,Uplifting Trance,Whiteout [&],Re:gats& / BGA:5argon,2625,2044 (77%),20862,7.94
SP★18,Elec-Chill Out,遠い春を告げるあの娘の足音 [feather],RYO-K / obj:fepria,2563,1994 (77%),20612,8.04
SP★18,Dramatical,Tsukuyomi [INSANE7],Lime,2190,1561 (71%),22061,10.07
