レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★19,ReQuiEm tRanCe,End Time -to the death-,Cres / obj:y,6328,3745 (59%),148130,23.4
SP★19,instrumental,subconsciousness -KILL-,guna with チーム・キュッキュ/ obj:窓つきもん,5887,3080 (52%),91164,15.48
SP★19,HARMONIC SCHRANZ,conflict [INFELNO],siromaru + cranky /差分　赤い人,5811,4104 (70%),75443,12.98
SP★19,Overture / IDM,VALLISTA [Rhodes7],削除 / Mentalstock / obj:slash,5386,3511 (65%),89436,16.6
SP★19,Techno Trance,P.S : Plasma Strike - GOD -,Kinato/y,5362,3157 (58%),83751,15.61
SP★19,Happy Hardcore,electric butterfly [yumether],養土卵 光 / 浜 柔好 / obj:劉 芽留,5300,2925 (55%),108647,20.49
SP★19,HAPPY HARDCORE,Blue-White Crazybits [ANOTHER],234,5063,3026 (59%),55014,10.86
SP★19,DANCE SPEED,Satori ～3rd EyEs -EXTRA-,BMS:くっちー / BGA:あっきー / obj:あっりー,4985,2361 (47%),87269,17.5
SP★19,Trance,Evangelize (Radio Edit) (SP FRIDAY),syatten + 140 : obj:JEYSON,4868,2499 (51%),63302,13
SP★19,ハッピーケアガール,白の魔法の光 -magiclight7-,こどものなみだ / y,4846,2259 (46%),128993,26.61
SP★19,,EXILE [EX],-45,4829,2376 (49%),132677,27.47
SP★19,東方風神録,稲田姫様に叱られるから　 (BEGINNER),BMS：Ｆ／Ａ１８　MIDI：ロウファ　BGA:LZH　OBJ:air,4471,2486 (55%),100467,22.47
SP★19,[dry Moon bass],妖晶零弐 -ω-,tarolabo BGA:140 http://d.hatena.ne.jp/xki/,4101,2200 (53%),52441,12.78
SP★19,Chiptune,FIONA [Hi],w_tre / obj:秘密 Lyrics by Sing_fUA,4015,3169 (78%),63023,15.69
SP★19,UNHAPPY HARDCORE,おにコア [如月],sampling minor SUICA,3981,2108 (52%),58678,14.73
SP★19,Classical,千年女王 [ANOTHER],しらいし,3870,2053 (53%),39832,10.29
SP★19,MELODIC SPEED CORE,ephemera (FOOLISH),ABE3,3834,2923 (76%),42397,11.05
SP★19,PSYCHEDELIC TECHNO,gravitronicⅢ,Is-m & muramasa,3656,1486 (40%),58275,15.93
SP★19,Elemental Fusion,奏龍ピアソラ [T.Instinct],daisan,3533,2854 (80%),33826,9.57
SP★19,kirby pop (maniaq7),☆ twinklesky ☆ _16 MANIAQ,fether / obj: black train,3524,2020 (57%),56279,15.97
SP★19,KusoFumen Concerto,ピアノ観賞曲欠番「神姫」 (KF),kurena,3332,1663 (49%),44195,13.26
SP★19,Freeform,sunlit power stone [kusofumen],dj sept-em +-,3207,1945 (60%),24924,7.77
SP★19,BREAKCORE,FUXXING YOUR BRAIN -Mind Blast-,q/stol あ,3079,1874 (60%),42163,13.69
SP★19,Gabba,Wild Clown (7key-SA),Symphonian,3049,1681 (55%),33267,10.91
SP★19,丑三ツノ刻[鬼],紅染十三番街道,L_Z,3006,1695 (56%),37286,12.4
SP★19,J-CORE,"織姫(Independent from God, Everlasting love remix) [VEGA]",DJ TAKUAN 及び 佐倉アヤキ remixed by uet BGI:いかお / obj:BAECON,2919,2240 (76%),54785,18.76
SP★19,Arrange(karaoke),U.N.Owen ～戯れしは狂妹か？～ [abolish19],team TRIAD / UnK-now/37E,2864,1571 (54%),43791,15.29
SP★19,SPRING CORE,Dandelion Sparkle!! -ふわふわ-,p_d/s_h Artwork : ふりっと★,2736,1902 (69%),36380,13.29
SP★19,Cyber Core,H.S : Hadron Strike,zest:rave // obj:J.M,2729,1958 (71%),27864,10.21
SP★19,Progressive / Electronica,点、線、面、立体 多胞体,sound piercer / mov : kkkfff2,2716,2196 (80%),27751,10.21
SP★19,LIFE STREAM,Lemuria [Tyrfing],Festa 鑓田(alpha complex) / Obj.Lapis vs Triforce,2460,1862 (75%),23626,9.6
SP★19,COALENSCENT BREAKCORE,Heterochromia Iridis [HARDEST],FOLiACETATE /差分 赤い人,2176,1781 (81%),17535,8.05
SP★19,Hardcore,Hypertext Transfer Protocol (SP WOONATHER),EXCITECH / OBJ : 0samil0,2045,1479 (72%),21096,10.31
SP★19,2step,resta del tramonto,noctie* obj.XYZ,1970,1602 (81%),14488,7.35
SP★19,HAPPY HARDCORE,桜花撩乱 [Monsther+],悠然 / bunta obj.Monsta,1786,1436 (80%),13748,7.69
SP★19,HARD RENAISSANCE,N - flat waves -,er obj.XYZ,1598,1335 (83%),13118,8.2
