レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★5,IntelligenceTerror,モリオンの姫 [INSANE],wa. / OBJ:J-SON,16037,12237 (76%),263486,16.42
SP★5,Trance core,Xecus [Maniac],SHIKI/fity / obj:A-zert,13989,11617 (83%),230016,16.44
SP★5,Classical Trance,Odin [Black_Another],しらいし,13838,11557 (83%),167572,12.1
SP★5,TRANCE,Angelic layer　 ～Reincarnation～,SHIKI / obj BUN×BUN,12889,11083 (85%),108803,8.44
SP★5,HyperEuroBeat(AFOTHER),Last! Least! Regrets!! (AFOTHER),beatMARIO / tomsfir / black train,11730,9748 (83%),128826,10.98
SP★5,oriental,夜桜 -桜吹雪-,彩音 / 小宮真央 / obj: black train,11432,9324 (81%),109318,9.56
SP★5,Dutch Trance,- JUPITER - [ANOTHER++],SHIKI / obj Risky*,11080,8354 (75%),93997,8.48
SP★5,コープスダンス,少女の舞葬,ぷらすちっくと女の子,10951,9615 (87%),102538,9.36
SP★5,J-EuroPop,Love's Rebirth '06 -7another-,小宮真央 with Na+,10884,8654 (79%),130999,12.03
SP★5,Techno,Trinity [Maniac],TAK/A-zert,10767,9918 (92%),83027,7.71
SP★5,Airy Trance,Another Sky　 [7key/Ex],Ym1024/さ,10763,9459 (87%),82388,7.65
SP★5,TRANCE,織姫 -VEGA-,DJ TAKUAN 及び 佐倉アヤキ 　及　び obj:BAECON,10643,9099 (85%),143274,13.46
SP★5,Crazy Arrabbiata,Auston (7another),激辛マニア,10627,9109 (85%),96361,9.06
SP★5,HYPER EURO RAVE,"Red-rize ""B172 mix"" // 7keys Afother",wint / obj: black train,10322,9275 (89%),64789,6.27
SP★5,Hyper Techno,T.S : Terminal Strike,Kinato / vese,10274,8317 (80%),93874,9.13
SP★5,Synth Rock,子午線の祀り [マナの剣],金ラメタキシード / obj:SUKIMA,10190,8405 (82%),120275,11.8
SP★5,ボルケーノ,volcanic -vaporize-,DETRO / obj:あーさん,10143,7888 (77%),117961,11.62
SP★5,Romantic Beats,rainy beauty [ANOTER+],Rabbit Bat obj:umes,10130,7873 (77%),100677,9.93
SP★5,Trance,Exit (another7),Transin /A-zert,10128,8956 (88%),71391,7.04
SP★5,彼女たちの流儀,Red -reduction division- [NANATHER],nmk feat.かなえゆめ / 奈那樹,10029,8311 (82%),120560,12.02
SP★5,rapid pop,happy century AFOTHER,recognize m. / bga-RED / object-black train,9972,7712 (77%),137546,13.79
SP★5,Digi Rock,Atomic Bomb [㌧に捧げる譜面],Mad-Script obj:江澤,9961,7521 (75%),110365,11.07
SP★5,GAME MUSIC,Lunatic of the Full-Moon (---),sun3,9955,8395 (84%),85755,8.61
SP★5,Dramatic Trance,Rosario -another story- (busy),SB YUNE  obj:YUJI,9942,8303 (83%),81530,8.2
SP★5,EINSAMKEIT,Doppelganger [ANOTHER],LeaF Movie:To7,9885,8350 (84%),112362,11.36
SP★5,東方花映塚,春色小径 ～ Colorful Path -lunatic7-,由蘭 / 奈那樹,9762,8307 (85%),89427,9.16
SP★5,Goa Trance Techno,OAA-γ [EX],dj sept-em / air,9667,8179 (84%),70651,7.3
SP★5,DTX STARTER PACK_Extra,覚醒フィールド -A.T.フィールド-,cosMo / nmk / 奈那樹,9659,8592 (88%),88534,9.16
SP★5,Happy Eurocore,REspEcT-B.A.U MIX- EX,はむ＆kyuu / NORE,9657,8561 (88%),67504,6.99
SP★5,Filmscore / Trance,Ordeal,void BGA : Identity 7,9655,8048 (83%),61492,6.36
SP★5,starry pop,道しるべ -Lunatic-,pastel white/Liz...,9512,8394 (88%),69167,7.27
SP★5,Epic Trance,Cosmoscape　 [kei another],Ym1024/obj.kei,9280,7675 (82%),66244,7.13
SP★5,EPIC TRANCE,A BEAUTIFUL SKY -OB style- AFOTHER,recognize m. / helix / blacktrain,9266,7658 (82%),72559,7.83
SP★5,ETHEREAL BREAKS ATMOSPHERIC,モノリスの園 [ミラクル],LOKI / obj:JEYSON,9075,7330 (80%),58924,6.49
