レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★3,Euro Rave,Imperishable Night 2006 -SP ANOTHER-,篠螺悠那 feat. 鯛の小骨,18262,15561 (85%),326654,17.88
SP★3,TRANCE CORE,Air ANOTHER+,SHIKI / black train,17117,15002 (87%),212470,12.41
SP★3,classical crossover pop,風仁雷仁 (EX),カラフル・サウンズ・ポート / Ds,16401,14675 (89%),200481,12.22
SP★3,t r a n c e,A c i - L - A,裏 吉 川,16042,13127 (81%),277751,17.31
SP★3,Maiden House,elegante [Another Plus+],高嶺　愛花 BGA : 室谷 / object:MILK-T,16033,14071 (87%),205517,12.81
SP★3,SOARLY TRANCE POP,東の国のFLYING PAPARAZZI！ -Lunatic-,樋奈月みつ (sequence by dj SIGMA),14037,11883 (84%),135999,9.68
SP★3,Future Pop,Qualia [sLunatic],Junk / obj.swa,14036,12578 (89%),154503,11
SP★3,oriental,夜桜 -十六分咲き-,彩音 / 小宮真央 / obj: black train,13934,12107 (86%),132896,9.53
SP★3,Techno Trance,Plasma Strike (small-boss7),Kinato/obj:kaz?,13847,10976 (79%),240698,17.38
SP★3,OVERKILL,煉獄-Purgatorium- [HYPER],incinerate,13782,10362 (75%),141057,10.23
SP★3,trance core,感情の摩天楼〜PandoraBox,ZUN remix by 44teru-k / obj:SUKIMA,13180,12019 (91%),146786,11.13
SP★3,AKIBA POP,おでんぱ☆ラヴガール -BMS EDIT- [Kei-Another7 +],ねこみりん feat.みゆ / むらしん,13029,10876 (83%),106707,8.18
SP★3,JP-SPIRITUAL POP,桜華月 ウルトラセブン,AKITO/http://d.hatena.ne.jp/xki/,12962,10947 (84%),136636,10.54
SP★3,Trance,Jade Star [alternative],SHIKI/ 壱air/obj:lobsak,12904,10596 (82%),139070,10.77
SP★3,HAPPY HARDCORE,A BEAUTIFUL WINGS -Extra7-,SHIKI/http://d.hatena.ne.jp/xki/,12876,11352 (88%),92777,7.2
SP★3,fantasia,物怪舞踏 [29Another],篠螺悠那 / 29,12861,11471 (89%),98326,7.64
SP★3,TRANCE,affected (ANOTHER7),System SFM,12784,10707 (83%),90452,7.07
SP★3,木工ボンドオブジェ,Bird Sprite -D.K.R. mix- (afother),ツナマヨちゃん / obj: black train,12771,11312 (88%),93462,7.31
SP★3,Drum 'n' Ambient,その斯くも美しき紅に (EX),天音/http://d.hatena.ne.jp/xki/,12337,11493 (93%),90130,7.3
SP★3,Progressive Trance,Faith. [SP Lunatic],CrossGear,11698,10080 (86%),122043,10.43
SP★3,dream trance,Lostlove -BMS ver. another-,maklow,11654,10347 (88%),85286,7.31
SP★3,[Orchestra],斧と盾 [7key_hard],tarolabo BGA:MiRA vo:小宮真央,11604,9356 (80%),150186,12.94
SP★3,trance,Act #000000 (short),Saz,11502,9632 (83%),87250,7.58
SP★3,UK HARDCORE,B.B.K.K.B.K.K. (toidi),nora2r / 出前 /obj_jakko,11480,10011 (87%),134449,11.71
SP★3,Digi rock,night starter Another,ken ;bgaparty/http://d.hatena.ne.jp/xki/,11440,10554 (92%),67190,5.87
SP★3,j-euro,J2U (crazy remix 7AFOTHER),しろ / black train,11417,9632 (84%),105699,9.25
SP★3,Instrumental Rock,Over the Sky [ANOTHER7],やっす〜/竹ボーキ,11405,9666 (84%),104432,9.15
SP★3,ibiza trance,the sorrow of the islands (7keys:maniac),narve BGA:tes (obj.mp),11245,10363 (92%),61064,5.43
SP★3,TRANCE,Mirai (busy),Est,11080,9243 (83%),96147,8.67
SP★3,intelligence,x-Aria -虎之another-,ridis / obj:black train,11065,9791 (88%),109951,9.93
SP★3,HYPER TRANCE,Ocean Memory [Rea'du],Junk,11026,9032 (81%),101402,9.19
SP★3,Bubblegum Dance,CHERRY DOLL (Imperial Rose),カラフル・サウンズ・ポート ＋ aya (Sequence),10676,9158 (85%),124845,11.69
SP★3,rotterdam house tatse,"ROTTELER'S HOME ""seven eduardo edit""",clap stick,10642,9104 (85%),77385,7.27
SP★3,jp-trance,You're My Shining Star [PLANET],上杉うた feat.ARU＆MIKU / obj:霜深,10435,9407 (90%),63716,6.1
SP★3,J-Airy Pop,started [7key/Ex],Ym1024 feat. lamie*　/obj:BAECON BGA : Mentalstock,10326,8724 (84%),72461,7.01
SP★3,instrumental,subconsciousness - another+ -,guna with チーム・キュッキュ/ obj:kaz?,9774,8481 (86%),125492,12.83
SP★3,Desire,Kronos (EX),削除 / うまい棒 / obj.siokaze,9349,8507 (90%),80945,8.65
SP★3,SYMPHONIC WAVE,ΔΔ [Another+],KA-KU/obj:Azel,9235,8668 (93%),60494,6.55
SP★3,Progressive,L9 -落とし穴 perfect edition-,paraoka object by Kz,9197,8117 (88%),80712,8.77
SP★3,TECHNO,cold planet [F],knot obj:Fender,9051,8343 (92%),74869,8.27
SP★3,RAVE,F -Extra-,bubbles obj:mattun,8935,7764 (86%),96938,10.84
SP★3,artcore,死腐乃美「彼岸花」第二〜空虚偽心〜赤紅 [Lycoris],44teru-k obj:42,8531,7677 (89%),63992,7.5
SP★3,Space Techno,8th:Planet [SP ANOTHER+],P4koo/obj_jakko Visual : HAEGOE,8271,7859 (95%),45323,5.47
SP★3,DEPENDANCE MUSIC,Poison AND÷OR Affection [INSANE],LeaF Movie:Optie,8240,7687 (93%),58551,7.1
SP★3,Tech electro,STAGER [7_Success],Ras obj.screw,7969,7488 (93%),59222,7.43
SP★3,Game Music Arrange,Super Mario Brothers Main Theme [29Another],siromaru / 29,7843,6502 (82%),55515,7.07
SP★3,Euphoric Artbreaks,雪解け色フラワーズ [Defrost],daisan / zue-row obj. DK,7779,7296 (93%),65936,8.47
SP★3,ELECTRO,PrayStation [HARD],Ras/ 差分 赤い人,7764,7289 (93%),45850,5.9
SP★3,ELECTRO,Debut -SABOTHER-,"sweez, tigerlily, roop feat. lily, photonskyto/さ",7596,6881 (90%),49082,6.46
SP★3,HOUSE,88D [小さい],mommy,7509,6961 (92%),45389,6.04
SP★3,House,kindly breeze [ELITHER],mo_no_chrome feat.Salita / obj:ELIGOS,6326,6127 (96%),28301,4.47
SP★3,EUROBEAT,Starry Fate (Dif),TiS feat.紅梔子,6231,5845 (93%),48826,7.83
SP★3,ネコぱら Vol.1 〜ソレイユ開店しました！〜,タイヨウパラダイス(Lemon beads J-core bootleg) [Les Deux Chattes],nao/雪仁/水城新人 remixed by Lemon beads eclair et fleur,5621,5417 (96%),56619,10.07
