レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★12,TRANCE CORE,Air -EXTREME-,SHIKI / black train,11129,7820 (70%),300280,26.98
SP★12,TRANCE CORE,Pure Ruby [Another+],SHIKI / air,10527,6994 (66%),118425,11.24
SP★12,SYMPHONIC_BossBattle,歪んだ神 (DistorteD),次元大介 /obj:L,10513,7300 (69%),183503,17.45
SP★12,HANDS UP,Ms.Naive Princess [RAFFLESIA],xenothium obj.kei,10143,4806 (47%),100084,9.86
SP★12,HappY PoPcorN(MANIAQ7),★LittlE HearTs★ (MANIAQ),ねこみみ魔法使い / obj: black train,9942,6985 (70%),150716,15.15
SP★12,TRANCE,Angelic layer -Heavenly7-,SHIKI/http://d.hatena.ne.jp/xki/,9841,7978 (81%),152921,15.53
SP★12,Dissociative Identity Disorder,HAELEQUIN,orangentle / deadblue238,9633,6505 (67%),171398,17.79
SP★12,Suomisaundi,Tuk Tuk Boshi [7keys Crescent],Shaman Cure-All / obj : cieu,9470,7128 (75%),130908,13.82
SP★12,TECHNO,cold planet -Blue Marble-,knot / obj:あーさん,9000,5974 (66%),117697,13.07
SP★12,Ascii Art Core,／^o^＼ -サファリパーク-,Yamajet / 29,8943,5504 (61%),132379,14.8
SP★12,P s y,G e n g a o z o _ G O D,455 / rio / black train,8622,5821 (67%),293639,34.05
SP★12,Sixteen Beat,おジャ魔女でBANBAN！(Pop-mix) (くそふめん♪),猫蟹丸 / air,8517,6278 (73%),111718,13.11
SP★12,Trance　core(7key),Cold Breath (Another+),SHIKI / air,8488,6769 (79%),67601,7.96
SP★12,GABBA,Forceful Beat [HYPER],keyc,8322,5902 (70%),138849,16.68
SP★12,YUYUSSANCE,AcceptAdvent-Border of Life- (乱れ咲き),sun3,8226,5794 (70%),118973,14.46
SP★12,Piano Rush,日溜りの街－あ！－ (MANIAQ),猫蟹丸 / obj: black train,8196,6055 (73%),132821,16.2
SP★12,Trance,Evangelize (Radio Edit) (SP ミラクル),syatten + 140 : obj:JEYSON,8190,6411 (78%),72419,8.84
SP★12,Ancient beats,Ancient Memory (Extra),ZUN (Arr.sun3),7973,5960 (74%),88504,11.1
SP★12,HAPPY HARDCORE　-HARD-,おにコア,sampling minor SUICA,7956,5304 (66%),117273,14.74
SP★12,HHP,Happy☆mooN (MANIAC),daiji+lobsak / air,7389,5765 (78%),94327,12.76
SP★12,東方ピアノ楽譜,ナイト・オブ・ナイツ [HARDEST],Izayoi/差分　赤い人,7370,5322 (72%),124052,16.83
SP★12,ラストバトル,恐鳥,主人公,7128,5327 (74%),70548,9.89
SP★12,fantasy,Altale [INSANE],削除,7120,5773 (81%),69080,9.7
SP★12,大千秋楽,ピアノ協奏曲第1番 月光条例,ルナ・ヴィオーラ / iimode-do,7118,4899 (68%),65147,9.15
SP★12,MM SEQUENCER,M-A (FOOLISH),Musical Masterpiece,7117,5592 (78%),72557,10.19
SP★12,[ProgressiveSwing],黒猫円舞曲 [7key_EXTREME],tarolabo / obj. 0e5r,7078,4310 (60%),91840,12.97
SP★12,Venerable Culture,Name of oath [SP EX],"void feat. コツキミヤ , Gt. えば /obj:BAECON BGA : Photonskyto",6722,5257 (78%),63421,9.43
SP★12,トランスレクイエム,キメラ,BACO,6704,5108 (76%),83306,12.42
SP★12,オカルトさんとビーツくん,どうか私を殺して下さい [29Another],LUNEの右手と悠里おねぇちゃんの左脚 / 29,6694,4837 (72%),59212,8.84
SP★12,MYSTIC SEQUENCER,彼岸帰航 -idling mix-,ZUN(Arr.sun3)/ds,6571,4520 (68%),68558,10.43
SP★12,Artcore (7-MANIAQ),Cynthia -with moon light- (7-MANIAQ),maxXx65535 / cyclia / obj:black train,6449,5350 (82%),71464,11.08
SP★12,Drum'n'Bass,Eclipse -Luna- (7-ultimate kusofumen),Glome +-,6384,4818 (75%),48133,7.53
SP★12,SPEED DANCE,MIGHTY OBSTACLE -FANTASTIC7-,EXCALIpUR / BANZAI,6297,4752 (75%),59360,9.42
SP★12,hip hop,compressed eyes -kusomiso-,A.I.TOYS  obj:ab_tkkz,6294,4682 (74%),46719,7.42
SP★12,Progressive,L9,paraoka,6279,3576 (56%),86651,13.8
SP★12,PROGRESSIVE FUSION,Mirage Garden [ANOTHER+],xi,6061,4923 (81%),52571,8.67
SP★12,FREEFORM HARDCORE,エナジーストリーム(Never Understand Remix) [ANOTHER],キュアプラネット Remixed by ETIA.,5978,4397 (73%),66689,11.15
SP★12,RENAISSANCE,Quad Queens [ANOTHER],D.J.Nero,5743,4030 (70%),60236,10.48
SP★12,GAME MUSIC,ヨッシーアイランド 「クッパ」 [7KEYS SPECIAL],近藤浩治 BMS:krg,5614,4190 (74%),80133,14.27
SP★12,euro trance,sensitive (MANIAQ),white crystal / black train,5516,4596 (83%),48326,8.76
SP★12,PSYCHEDELIC TECHNO,gravitronicⅡ,Is-m & muramasa,5485,3360 (61%),88961,16.21
SP★12,Dramatical,絵空事の世界と私　 [SABOTHER],イヴ/さ,5338,4555 (85%),54961,10.29
SP★12,trance(revenger),迦具土 -REVENGER EX-,narve / remix:helix / obj:arufis,5315,3649 (68%),52848,9.94
SP★12,Cyber Core,H.S : Hadron Strike [7Keys - Another],zest:rave,5147,3823 (74%),46700,9.07
SP★12,ROTTERDAM TECHNO,DISCHARGE RUSH [Creation_R],ETIA. vs MM Sequence/obj_jakko,4656,3499 (75%),51844,11.13
SP★12,nrg core,Bird Sprite -Awakening of Light-,syatten remixed celas / reku Obj : J.M,4651,3936 (84%),32127,6.9
SP★12,IRREGULAR HI-BREAK,Y [F],ヲルバ＝田中・ヴァニラ obj:Fender,4615,3960 (85%),37455,8.11
SP★12,Pyramid Core,Alien Artifact [Append],Yu^ta w. Satoguchi Yu / obj:Azel,4312,3602 (83%),59617,13.82
SP★12,TRANCE CORE,Metatron [YHWH],SHIKI / obj.swa,4239,3809 (89%),36848,8.69
SP★12,electro trance,Q [SAETHER],tanacoro obj:saaa,3736,3176 (85%),30659,8.2
SP★12,TRANCE/XUAL,Borderline -F⇔M remix- [female],Ark-Z obj:strada,3593,3187 (88%),23380,6.5
SP★12,EPIC TRANCE,Pursuit Of Outer Space MX,Grand thaw,3540,3104 (87%),20772,5.86
SP★12,Terror,SCARY BANQUET [BESESSENHEIT],NIKITA / Optie obj:saaa,3492,2983 (85%),23842,6.82
SP★12,GOTHIC HARDDANCE,dolorosa melodia [Sanctae Crucis],がむつ氏 + けえ氏 (a.k.a. witch's slave) obj:仙人掌の人 秘密 ちゃっく Lafal つい,3237,2856 (88%),23354,7.21
SP★12,ジュリアナテクノ,Alt Futur [Fieber],バンバンアカウント作成太郎 / 駿 / バンバン差分作成次郎,2731,2423 (88%),15184,5.55
