レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★4,HappY PoPcorN(虎の穴7),★LittlE HearTs★ (虎の穴),ねこみみ魔法使い / obj: black train,17252,14605 (84%),235362,13.64
SP★4,TRANCE,Angelic layer -ANOTHER-,SHIKI (obj.mp),17241,14346 (83%),207361,12.02
SP★4,TRANCE CORE,Pure Ruby -JUNK7-,SHIKI / obj:sok,16435,14570 (88%),177478,10.79
SP★4,FREEFORM,Quark,Hate vs Brilliance,15899,10661 (67%),190477,11.98
SP★4,HAPPY,DRAGONLADY (7keyEX),Nankumo / BGA：Cube3 / obj：18,15720,11900 (75%),233238,14.83
SP★4,HAPPY HARDCORE,FREEDOM DiVE [k 7],xi / obj:kaz?,14777,11796 (79%),180874,12.24
SP★4,European Trance,aliceblue (Radio Edit) (SP EX+),syatten / air,13638,11883 (87%),109598,8.03
SP★4,LOVELY HIGHSPEED,Love & Justice [AFOTHER],フロン / ラズベリル / obj: black train,13592,11583 (85%),256921,18.9
SP★4,Musette,Flesvelka MX,Grand Thaw,13095,10840 (82%),119265,9.1
SP★4,Akiba Pop,Magical Love Words (Maniac),源屋feat.ユスラ / air,13090,11787 (90%),221199,16.89
SP★4,CRYSTAL TRANCE,Durandal -Magical Freezing- (Radio Edit) [PLANET],ねこみりん / 霜深,12864,11364 (88%),118790,9.23
SP★4,Synth Rock,theme of Maia -maniac-,ねこみみ魔法使い,12742,10312 (80%),147511,11.57
SP★4,RAVE,Party 4U (AFOTHER),cranky / obj: black train,11858,10723 (90%),88250,7.44
SP★4,TRANCE,SEPIA -EX色-,SHIKI/-45 obj:arufis,11811,9911 (83%),110128,9.32
SP★4,Uplifting Trance,Aihana(Radio Edit) [SADISTIC],高嶺　愛花 / obj:密,11781,10077 (85%),124893,10.6
SP★4,マイアミベース,Here we go！ (TM edit),Awesomeman / obj:あーさん,11748,8206 (69%),233025,19.83
SP★4,Trance,Liberte-SuperSaw Epic mix- -ANOTHER-,源屋 (obj.mp),11742,8529 (72%),235455,20.05
SP★4,shuffle,あめふりこねこ (AFOTHER),ねこみみ魔法使い / black train,11618,9600 (82%),95825,8.24
SP★4,NOCTURNE,AltMirrorBell MX,Grand thaw,11354,9014 (79%),197513,17.39
SP★4,TECHNO,A.S.D.F [EX],Needle Valley,11182,8467 (75%),155647,13.91
SP★4,P s y,G e n g a o z o _ A F O,455 / rio / black train,10943,9118 (83%),193546,17.68
SP★4,UNIVERSE(AFOTHER),X (AFOTHER),sasakure.UK / black train,10830,9069 (83%),94515,8.72
SP★4,PIANO HOUSE,Act Beloved [SP EX],Nene Anegasaki feat. Salita/さ Movie : Ryuka,10727,9755 (90%),78269,7.29
SP★4,trancestep,cadence [29Another],saikoro / 29,10536,9413 (89%),60772,5.76
SP★4,P s y,G e n g a o z o _ E X,455 / rio,10442,8562 (81%),121535,11.63
SP★4,HappY PoPcorN(torather7),★SweeT DiscoverY★ (虎のANOTHER),chocolate max / black train,10442,6467 (61%),123709,11.84
SP★4,,Eclisse [29Another],moma / 29,10334,8988 (86%),72283,6.99
SP★4,Gothic Lolita Memoir,Lieselotte  [INSANE],wa. / deadblue238,10330,9457 (91%),106386,10.29
SP★4,EUROBEAT,Childie Sharp [HyperWeapon],nmk/かなえゆめ,10024,8717 (86%),84944,8.47
SP★4,Trance,Ultramarine [Ultra(7)],TAK/eff_01x,10016,8659 (86%),57434,5.73
SP★4,Happy HardCore,That's the style!! (7key:Maniac),nez (obj.mp),9871,8774 (88%),59590,6.03
SP★4,ゆったり系サンバ,サンバランド [POROTHER],SAMBA MASTER 佐藤 -SATOH- / obj:MOK2,9805,8974 (91%),104001,10.6
SP★4,Liquid Funk,Romancecar (Kukan Junkyu Edit) [7keys Another*],jet:tones,9723,8697 (89%),71140,7.31
SP★4,m9 MINIMAL,Wicked plot [N],keyc,9462,8058 (85%),89225,9.42
SP★4,EMOTIONAL HARDCORE TECHNO,Calamity Fortune [F],ZUN remixed by LeaF Movie:Optie obj:Fender,9344,8597 (92%),79212,8.47
SP★4,fantasia,雪月夜鐘 -Monsther-,guna / obj:Monsta,9322,8631 (92%),68518,7.35
SP★4,MPB,Caixa D' Aqua,NAOSUKE / obj:あーさん,9187,7531 (81%),77942,8.48
SP★4,TRANCE,kyrka [Extra],MILK,8950,8402 (93%),54458,6.08
SP★4,TERROR,wilis -SABUN-,parakeet 41 / G / obj by ya2ha4,8705,7716 (88%),61126,7.02
SP★4,game music,エストポリス伝記II 〜バトル#2〜 (SP BLACK ANOTHER),mattaku,8416,7449 (88%),104724,12.44
SP★4,EPIC TRANCE,AutumnBreeze (kei-another),Grand thaw/obj.kei,8341,7750 (92%),56780,6.8
SP★4,PIANO SOLO,"rough [7key,Another]",mommy,8208,7710 (93%),62338,7.59
SP★4,Trance,beyond the limit -7keyex-,Syatten obj:arufis,7897,7058 (89%),60543,7.66
SP★4,fake out,Dstorv [false_fix],Feryquitous movie:Sight / obj_jakko,7831,7086 (90%),60863,7.77
SP★4,Crab Music,特効薬はカニピラフ (KANITHER),セナ/差分naiya BGA：Milk_tya Illust：神奈川わか奈,7439,6999 (94%),54992,7.39
SP★4,ELECTRO FUNK,GIN TONIC FLAVOR [aspER7],q/stol / obj_jakko,7170,5924 (82%),80563,11.23
SP★4,Tech electro,TURNDOWN [F],Ras obj:Fender,7089,6378 (89%),44981,6.34
SP★4,HARD ELECTRO pf,DESPERATE -fatal-,NIKITA obj by DK,6925,6196 (89%),50067,7.22
SP★4,art core,linear umbra [SP-RX INSANE],wigen / mov : Lepusnette obj by sound piercer,6468,6132 (94%),32790,5.06
SP★4,organic dnb,omega iii - beyond the flare (7kitty),ATM /bga pamnes/ kusofumen lovers,6366,5445 (85%),39939,6.27
SP★4,Waltz,Dance Doll Dream [puppet],daisan feat. えみゅう。 / zue-row obj.B_K,6135,5505 (89%),47993,7.82
SP★4,Melodic DnB,FirmamenT,はがね / bga:BspotV / object:0war1a,5525,5255 (95%),26092,4.72
