レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★13,HAPPY HARDCORE,FREEDOM DiVE [EARTH],xi / air,13603,7053 (51%),196785,14.46
SP★13,Ω,AVALON [IIDX],Team:SASAKURATION,9641,4222 (43%),110148,11.42
SP★13,LOVELY HIGHSPEED,Love & Justice [MANIAQ],フロン / ラズベリル / obj: black train,8668,6580 (75%),182121,21.01
SP★13,Break Core,Plastic Mind [ALITHER],ZUN/arr.みょん / iimode-do / かげきち / ALICE*,8239,6138 (74%),128989,15.65
SP★13,Sound Track,ERIS [yumether],Grand Thaw /obj:夢瑠,7448,6088 (81%),46302,6.21
SP★13,Trance,beyond the limit -EROTIC7-,Syatten #obj air-,7305,4798 (65%),115258,15.77
SP★13,HARD RENAISSAYAKA[SP SAYATHER],squartatrice,美樹さやか vs. 美樹さやか (fw. 美樹さやか) BGA ： 美樹さやか,7148,4847 (67%),124036,17.35
SP★13,TECHNO,SIREN OF DAWN [Another+],イズミケイ,7066,5228 (73%),96624,13.67
SP★13,HAPPY HARDCORE,Healing smile [HappyHardcore Style edit] (EX7),Yamajet(^^) vs Sphere(･∀･∀･),7011,4862 (69%),79768,11.37
SP★13,EURO BEAT(Last Dance),"少女の檻 ""Last Night, Last Dancing.""",beatMARIO /A-zert,6988,4944 (70%),102200,14.62
SP★13,Light Pop [kuso7],妹様は彼女なのだっ！,otokaz/lushe,6831,4518 (66%),91543,13.4
SP★13,Game Music,ＤＱⅢ　Battle -Hyper-,あやめ♪ obj:バラモス,6808,4079 (59%),114680,16.84
SP★13,RAVE,Party 4U (EXTREME),cranky / obj: black train,6238,4927 (78%),53122,8.51
SP★13,uppertune,旧地獄街道を行く ～反逆のパルスィ～ [妬まスィ],上杉うた,6227,4756 (76%),58843,9.44
SP★13,東方萃夢想,Demystify Feast [NORMAL],zun/MIDI：こんそめ/編集：wanco,6141,4141 (67%),73911,12.03
SP★13,Drum 'n Bass,myste`re [悪魔城],HOUJIROU / BGA: hardlove[差分：HofS],5941,4205 (70%),47762,8.03
SP★13,ルネッサンスコア,アズアラス [Hell],メスクラ (エヴァたん＆メコたん) / 29,5825,3479 (59%),74227,12.74
SP★13,Goa Trance Techno,OAA-γ [HELL],dj sept-em / air,5823,4369 (75%),64344,11.04
SP★13,リュウセイグン,Leonids,horoscope object:あーさん,5823,4295 (73%),71884,12.34
SP★13,ミネルバ,黯,紅蓮月影,5725,4007 (69%),105025,18.34
SP★13,psychedelic,Extinction and reproduction [SP kusofumen],sept,5655,3998 (70%),58543,10.35
SP★13,INTELLI CORE,BLACKOUT -Side Story- [ANOTHER+],照堕 remix by keyc,5609,4326 (77%),48768,8.69
SP★13,EPIC TRANCE,A BEAUTIFUL SKY -OB style- GOD,recognize m. / helix / blacktrain,5433,3980 (73%),68831,12.66
SP★13,CHIPTUNE,白と臙脂のオモチャバコ [DELAY],BACO feat. るぜ /差分 赤い人,5282,4441 (84%),52120,9.86
SP★13,New Age,Blooming [7key Feeling],Trish / obj.swa Movie:Vergil,5046,4685 (92%),42815,8.48
SP★13,CUNi DRAMATIC TRANCE CORE,アイーシャの剣-Forcing breakthrough- [X-sword],Alicia* obj -XEIN-,5029,4032 (80%),57902,11.51
SP★13,Freeform / Gabber,Toki (Sound piercer's Timesucker Remix) [Personality],puru twk. sound piercer (feat.Hee Bun.D) /obj:BAECON vs みっと,4829,3909 (80%),45941,9.51
SP★13,HAPPY HARD CORE,乙女ノススメ！ (Lovely),悠然/obj_jakko,4771,3909 (81%),59953,12.56
SP★13,PIANO ALGEBRA,Schur's Theorem [Linear Algebra],w_tre respect for AT&HU obj.sialua,4769,4049 (84%),48538,10.17
SP★13,euro beat,滝行Lv28 [皆伝取りました],sentire/さ,4631,3910 (84%),51450,11.1
SP★13,SCHRANZ,BLAZE YOUR SOUL [SP INSANE],sound piercer x ginkiha (mov : 1B) obj by BAECON,4585,3955 (86%),28259,6.16
SP★13,Trance Core,horizon ＾＾ω＾＾,しらいし　/ obj:BAECON,4509,3225 (71%),65794,14.59
SP★13,BreakCore,Incoherent -reminiscent of squad-,dustcloth /obj:spt,4494,3312 (73%),25876,5.75
SP★13,Art Progressive Fusion,CLOCKTOWER (Big Ben),Chitose / obj:緒方智絵里 vs 秘密 (Movie:zue-row),4198,3509 (83%),29122,6.93
SP★13,eschatology,クロートーと星の観測者 [MANIAC],しーけー obj.me$o,4155,3704 (89%),56848,13.68
SP★13,TECHNO POP,Baby Baby Frenzy [TRICK or TREAT],er / obj.swa,3908,3523 (90%),27910,7.14
SP★13,UK HARDCORE,Mercury Prayer [Bless],anubasu-anubasu BGA by FF9900　OBJ by screw,3838,3547 (92%),23449,6.1
SP★13,breakcore,corneal,SP-#,3829,2990 (78%),24611,6.42
SP★13,HAPPY ELECTRO pf,ELECTRiCiTY [7_voltage],NIKITA / misokabocha obj.screw,3742,3172 (84%),32723,8.74
SP★13,Progressive Hardcore,Angel Wing [FELITHER],uma obj:Fender vs ELIGOS,3434,3002 (87%),21593,6.28
SP★13,TECHNO / TECH DANCE,Soul of Deep-sea Fish [RUSH],HOUJIROU/obj_jakko,3147,2885 (91%),13454,4.27
SP★13,ネコぱら Vol.1 ～ソレイユ開店しました！～,タイヨウパラダイス(Lemon beads J-core bootleg) [STRIPE or WHITE?],nao/雪仁/水城新人 remixed by Lemon beads obj:れもんるり,3082,2738 (88%),29150,9.45
SP★13,GNADENSCHUSS,Endkraft [On the verge of death],polysha movie:Optie / obj:ctc,3043,2669 (87%),18427,6.05
SP★13,Trancecore,Re*incarnacion [NEXT],lazward / obj:Sar,2636,2146 (81%),23931,9.07
SP★13,CLUB MIX,Synth Stream (RUNOTHER7),sun3 / BGA:Johnny / OBJ:K-SPIN,2255,1984 (87%),16184,7.17
SP★13,BREAKCORE,コケシネコ☆クライシス [7KEYS RUNOTHER],Ino obj:K-SPIN,2244,2039 (90%),13812,6.15
