レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★2,TRANCE CORE,Air ANOTHER,SHIKI / rio,20111,17124 (85%),347410,17.27
SP★2,TRANCE,Lapis [Another+],SHIKI / air,18948,15077 (79%),277970,14.67
SP★2,Grand Finale,Papyrus (Maniac),papyrus obj: air / Movie: 浪漫映像制作倶楽部,18466,15620 (84%),209210,11.32
SP★2,Happy Hardcore -7 Another-,"Little ""Sister"" Bitch",t+pazolite / yuyuko,18103,15373 (84%),222715,12.3
SP★2,SOARLY TRANCE POP,東の国のFLYING PAPARAZZI！ -ANOTHER-,樋奈月みつ / obj:giselle,17184,14308 (83%),239048,13.91
SP★2,Sepia chant,夜明けの少女たち [Another+],Lubinn,15593,12839 (82%),208798,13.39
SP★2,HYPER J-POP YUKIATSU,fragment of tears [ANOTHER],五条下位＆仲村芽衣子 // movie: kagi55x,15356,12300 (80%),197328,12.85
SP★2,JAZZ FUSION,.357 Magnum [Another],xi,14718,11887 (80%),153780,10.44
SP★2,Nu Style Gabba,G.N. [B],keyc,14420,13103 (90%),117828,8.17
SP★2,HARD RENAISSANCE,BABYLON [7Extreme],SHIKI / DDX,14417,13306 (92%),129837,9
SP★2,Euphoric Vocal J-Trance,world devoid of you (fairydust radio edit // SP Another+),void feat. Hiroko,14380,12733 (88%),132707,9.22
SP★2,Neo Pagan Folk,Aeventyr [MX],Grand Thaw,14016,12553 (89%),114228,8.14
SP★2,RAVE,"REWD ""B159 mix"" // (kei another7)",wint,13903,12294 (88%),119339,8.58
SP★2,ENERGETIC TRANCE,Cross Galaxy [HARD],kanone/差分　赤い人 mov:deadblue238,13881,11807 (85%),153473,11.05
SP★2,,Midnight Driving -air mix-,yassu / 小宮真央 / air,13778,11583 (84%),121722,8.83
SP★2,Epic Trance,baby blue blanket -AAnother-,Sora / obj BUN×BUN,13709,12662 (92%),84167,6.13
SP★2,TECHNO,HAMMER the TANGRAM　（苦しさアナザー満天の星空）,beatMARIO,13557,11171 (82%),118214,8.71
SP★2,TRANCE,飛燕草 [BITTER],2TORI obj:lime,13498,11670 (86%),148147,10.97
SP★2,TRANCE,In a dream (MANIAC),Team Shanghai Alice (Remixed by Est)/A-zert,13381,11518 (86%),126312,9.43
