レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★6,HARMONIC SCHRANZ,conflict [EX-HARD],siromaru + cranky // movie: iimo,16171,12629 (78%),208068,12.86
SP★6,TRANCE CORE,Air -MANIAQ-,SHIKI / black train,14694,12398 (84%),238920,16.25
SP★6,Act / Wars,Black Lair [INSANE],削除 feat. void / 浪漫映像制作倶楽部 / obj : xi,12823,9948 (77%),152561,11.89
SP★6,ルネッサンスコア,アズール リミックス -damepo7-,メスクラ (エヴァたん＆メコたん) / obj:midori,12221,10139 (82%),184570,15.1
SP★6,東方紅魔郷　〜 the Embodiment of Scarlet Devil.,亡き皇女の為のセプテット [BEGINNER],チャチャ/zun/y,11967,10249 (85%),115288,9.63
SP★6,東方怪綺談,不思議の国のアリス -ALITHER-,由蘭 / ALICE*,11297,9628 (85%),120141,10.63
SP★6,drum'n bass,FELYS EX,onoken / NORE,11069,8572 (77%),115386,10.42
SP★6,Nu Style Gabba,G.N. [N],keyc,11067,8836 (79%),84839,7.66
SP★6,TRANCE,SEPIA -AFOTHER-,SHIKI/-45 / black train,10833,8836 (81%),73457,6.78
SP★6,orientali,ブクレシュティの人形師 -GILEX-,Project Necro Fantasia / obj:arufis,9921,8002 (80%),71965,7.25
SP★6,Latin Pop,Colorful Sunday (7keys:EX),SHOCK.C (obj. by arufis),9825,7100 (72%),96200,9.79
SP★6,SawAmbient,5.1.1(ReMix) [Afother],猫蟹丸 / obj:black train,9760,7838 (80%),95516,9.78
SP★6,HOUSE,Cinderella Story -SP AMETHER-,adumac / dp131 / obj:AMERIA,9728,8099 (83%),86114,8.85
SP★6,th trance,The infant daughter Frandle's [BLACK ANOTHER],celas,9564,7617 (79%),75314,7.87
SP★6,Urban Electro,The Panorama [EX],Junk/さ,9306,8360 (89%),63263,6.79
SP★6,Lounge Pop,l'amour d'amour --- 虎のANOTHER,orangentle / obj: black train,9279,7881 (84%),68406,7.37
SP★6,Instrumental,before... [7key/AFOTHER],やっす〜 / obj:black train,9270,8239 (88%),72605,7.83
SP★6,FINAL ATTACK,LEthAl wEApOn (ANOTHER7),G.G-G☆,9186,7988 (86%),102932,11.2
SP★6,Classic(ANOTHER),Ｍ （さぁ、どうしようかアナザー）,なおきち,9105,7574 (83%),102333,11.23
SP★6,kirby pop (afother7),☆ twinklesky ☆ _13 AFOTHER,fether / obj: black train,9055,7040 (77%),112408,12.41
SP★6,dream trance,Lostlove - maniac -,maklow,8913,6990 (78%),63632,7.13
