レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★23,HappY PoPcorN(GOD7),★LittlE HearTs★ (GOD),ねこみみ魔法使い / obj: black train,5844,1275 (21%),300405,51.4
SP★23,Euro Rave,Imperishable Night 2006 for D+,篠螺悠那 feat. 鯛の小骨 / air,4203,1649 (39%),89533,21.3
SP★23,OVERKILL,煉獄-Purgatorium- [ANOTHER],incinerate,3803,1072 (28%),55980,14.71
SP★23,HAPPY HARDCORE,FREEDOM DiVE [UNIVERSE],xi / air,3740,1427 (38%),83231,22.25
SP★23,ゆったり系サンバ,サンバランド -LAST BOSS-,SAMBA MASTER 佐藤 -SATOH-,3392,879 (25%),83488,24.61
SP★23,GABBA,Forceful Beat [ANOTHER],keyc,3388,1596 (47%),54922,16.21
SP★23,ルネッサンスコア,アズール リミックス <MANIAC>,メスクラ (エヴァたん＆メコたん),3224,671 (20%),50470,15.65
SP★23,上級者IR（乱打）,亡き皇女の為のセプテット -IR-,チャチャ/ zun /まっつん,2945,1114 (37%),42222,14.33
SP★23,SPEED DANCE,orion ring -EXTRA-,daiji&sa10,2812,1015 (36%),60360,21.46
SP★23,Crazy Arrabbiata,Auston (7hakkyooi),激辛マニア,2740,1399 (51%),50303,18.35
SP★23,SuperNOVA BEAT,"%E3%83%96%E3%83%B3%E3%82%BF%E3%83%B3 〜Falling in ""B"" mix〜 (EXPERT)",((LMB)) / obj:A-zert,2709,585 (21%),62343,23.01
SP★23,MM SEQUENCER,M-A (KOOKY),Musical Masterpiece,2603,724 (27%),46731,17.95
SP★23,東方妖々夢,人形裁判　〜 人の形弄びし少女 -EXTRA-,由蘭 / ALICE*,2471,751 (30%),49525,20.04
SP★23,DarkBreaks,Alastor [full density],鳩 / obj:A-zert,2401,1026 (42%),42750,17.8
SP★23,HAPPY HARDCORE,Blue-White Crazybits [WC],234 / air,2389,1073 (44%),48072,20.12
SP★23,RENAISSANCE,Joker [EX],D.J.Nero / Ds,2263,909 (40%),54907,24.26
SP★23,EINSAMKEIT,Doppelganger [Hi],LeaF / obj:秘密 Movie:To7,2161,1076 (49%),44746,20.7
SP★23,東方妖々夢,幽雅に咲かせ、墨染の桜 [NORMAL+],zun bms:乙UN,2076,928 (44%),30092,14.49
SP★23,EPIC TRANCE,AutumnBreeze (kei-unmeansured),Grand thaw/obj.kei,2066,1179 (57%),27725,13.41
SP★23,Progressive,L9 -落とし穴 Revolutions-,paraoka / Kz,1847,999 (54%),28521,15.44
SP★23,和洋折衷盥回,YATA (超地獄級),kireji,1738,641 (36%),41514,23.88
SP★23,REINTERPRETATION,The lost (FUNERAL),碧,1646,480 (29%),31416,19.08
SP★23,LIFE STREAM,Aragami [ULTIMATE BEAM],xi iimo / obj:BAECON,1573,781 (49%),32454,20.63
SP★23,Dramatical,Chronomia [pass],Lime / inukoro OBJ:ランダマイザ,1472,960 (65%),25111,17.05
SP★23,RATIONAL PUNISHMENT,Wizdomiot [INFERNO],ZUN remixed by LeaF Movie:Optie / 差分 赤い人,1462,788 (53%),28977,19.82
SP★23,HI SPEED-TRANCE POP,ハイパーミラクルシューティングスター [Perseus],er / obj:BAECON,1391,704 (50%),25234,18.14
SP★23,reconstruction,Total Eclipse of the Sun -Fatal MirroR-,-45 / selene.,1230,796 (64%),17352,14.1
SP★23,ASTRALCORE,Schwerkraft [すごそうな譜面],ROKINA/obj:仙人掌の人,1101,602 (54%),19323,17.55
