レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★24,SYMPHONIC SCHRANZ,PEACE BREAKER [BREAKER],Omnipotenx,3786,748 (19%),74141,19.58
SP★24,LOVELY HIGHSPEED,Love & Justice [GOD],フロン / ラズベリル / obj: black train,3578,1173 (32%),221387,61.87
SP★24,HARD NRG,Angel dust -Abyss-,LV.4/http://d.hatena.ne.jp/xki/,3567,886 (24%),112369,31.5
SP★24,Techno Trance,P.S : Plasma Strike - LAST BOSS -,Kinato,3281,609 (18%),69094,21.05
SP★24,P s y (一握りの神と星の数ほどのマゾプレイヤーのための),G e n g a o z o - f o o n,455-38B / obj : k_f,2549,566 (22%),56417,22.13
SP★24,Nu Style Gabba,G.N. [A],keyc,2426,984 (40%),29049,11.97
SP★24,ゆったり系Psychedelic Trance,ダークサンバランド -LAST BOSS-,ダークサンバマスター佐藤 -SATOH-,2360,875 (37%),36571,15.49
SP★24,MELODIC SPEED CORE,ephemera (KOOKY),ABE3,1956,697 (35%),31366,16.03
SP★24,ゆったり系アンセムトランス,ホーリーサンバランド -LAST BOSS-,HOLY SAMBA MASTER 佐藤 -SATOH-,1917,630 (32%),38879,20.28
SP★24,英國硬核,自強號 -Monsther-,痛男次郎 / obj:Monsta,1754,362 (20%),65123,37.12
SP★24,EXCELSIOR,キミとボクへの葬送歌 [Maybe kill],ROKINA/obj:仙人掌の人 BGA:REI-K,1693,601 (35%),50778,29.99
