レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★8,MYSTIC SEQUENCER,冥界帰航 (ANOTHER),ZUN(Arr.sun3),15530,9789 (63%),535413,34.47
SP★8,TRANCE CORE,Air -AFOTHER-,SHIKI / black train,13273,9033 (68%),149525,11.26
SP★8,H.H.P(one more mix),LOVE☆BEAM (orange summer mix),honey princess,11951,10023 (83%),176358,14.75
SP★8,FULL ON,ZENITHALIZE -LUMINOUS-,姉ヶ崎 寧々 / obj:sok BGA : photonskyto,11503,9759 (84%),139216,12.1
SP★8,HAPPY HARDCORE,Candy & Baguette [SP INSANE],sound piercer / mov : deadblue238 illust by monicaNC & mzet:-P / obj by kireji,11360,8694 (76%),129932,11.43
SP★8,HAPPY HARDCORE,約束 -HappyHyperStarmiX- (AFOTHER),beatMARIO / obj: black train,10709,8636 (80%),89320,8.34
SP★8,hard nrg,銀の風 [7keyANOTHER+],wa. remixed celas / obj：18 BGA:TOHRU MiTSUHASHi,10509,8180 (77%),139981,13.32
SP★8,FINAL FANTASY Ⅴ,ビッグブリッヂの死闘 -EX-,shammy obj:無茶ｐ&arufis,9997,8007 (80%),88489,8.85
SP★8,[dry Moon bass],妖晶零弐 -Ω-,tarolabo BGA:140 http://d.hatena.ne.jp/xki/,9851,8652 (87%),82097,8.33
SP★8,WORLDTRONICA,エピトゥリカの祀 [MANIAC],Team:SASAKURATION /obj.D-BLUE,9597,7738 (80%),91632,9.54
SP★8,EURO BEAT(7Line Maniac),"少女の檻 ""Last Night, Last Dancing.""",beatMARIO /A-zert,9426,8055 (85%),90572,9.6
SP★8,JP-S RAVE,舞姫 ～buki～　 [7key AFOTHER],HOUJIROU,9204,7858 (85%),73142,7.94
SP★8,MYSTIC SEQUENCER,彼岸帰航 -idling mix-,ZUN(Arr.sun3),9052,7779 (85%),79398,8.77
SP★8,木工ボンドオブジェ,Bird Sprite -D.K.R. mix- (maniaq),ツナマヨちゃん / obj: black train,8985,7434 (82%),80660,8.97
SP★8,TRANCE,SEPIA -MANIAQ-,SHIKI/-45 / black train,8842,7213 (81%),67758,7.66
SP★8,HAPPY HARDCORE(7key),Endless Dream -Maniac-,SHIKI // BGA:あかくらげ & M.H /obj.D-BLUE,8787,7445 (84%),79201,9.01
SP★8,PIANO CONCERTO,Remilia ～吸血鬼の為の協奏曲 [ANOTHER],くっちー / あっきー,8379,6033 (72%),74096,8.84
SP★8,orientali,ブクレシュティの人形師 -Hな人-,Project Necro Fantasia / obj:arufis,8333,6860 (82%),64405,7.72
SP★8,HYPER EURO RAVE,"Red-rize ""B172 mix"" // 7keys ManiaQ",wint / obj: black train,8332,7241 (86%),55059,6.6
SP★8,trance core,Moonless Night (7KEY-MANIAC),MASA (obj.mp),8301,7344 (88%),62586,7.53
SP★8,PRELUDE,Retroactive Rain (ANOTHER+),Musical Masterpiece / obj: G-MENS,8211,7504 (91%),56594,6.89
SP★8,JP-SPIRITUAL POP,桜華月 [7key Extra],AKITO / obj:arufis,8197,5962 (72%),83983,10.24
SP★8,SawAmbient,5.1.1(ReMix) [ManiaQ],猫蟹丸 / obj:black train,7788,6058 (77%),82192,10.55
SP★8,HARD TECHNO,carnot (EX),kawasaki under ground / ds,7766,6439 (82%),56528,7.27
SP★8,Lounge Pop,l'amour d'amour --- AFOTHER,orangentle / obj: black train,7718,6383 (82%),55287,7.16
SP★8,Ambient(bmp),暁月～蒼い夢 夢うつつ (kuso edition),yuika yoshioka /obj lushe,7697,6416 (83%),51374,6.67
SP★8,IDM,天上のポリスルイン [HARDEST],daisan /差分　赤い人,7694,6293 (81%),63560,8.26
SP★8,Rosso Phantasma,Ophelia [HARD],Lime /差分　赤い人,7579,6053 (79%),111621,14.72
SP★8,Psytrance,Vorota [sLUNATIC],Auratus / A.M. / obj.swa,7452,6226 (83%),47318,6.34
SP★8,techno,PuppyMill (Another),マキナ,7422,6264 (84%),40911,5.51
SP★8,intelligence,x-Aria -afother-,ridis / obj:black train,7282,6080 (83%),70389,9.66
SP★8,Shuffle Pop [EX7],STEPPING WIND -Wake Full Style-,otokaz,7282,6265 (86%),42955,5.89
SP★8,House,Under The Sunshine -ANOTHER7-,dai / obj-7RIN,7160,5576 (77%),59306,8.28
SP★8,Jハッピコ！,HAPPY☆LUCKY☆BABY [Blissful],DJ TAKUAN 及び 白羽美依 / obj:tzv,6765,5598 (82%),76656,11.33
SP★8,NRG,orbit -EX- (mania of mania mix),Urban Techno Cafe / obj:arufis,6524,5298 (81%),51520,7.89
SP★8,TECHNO,res extensa [ANOTHER],adamthix,6093,5428 (89%),43740,7.17
SP★8,Pop Rock,L.D.(Rock Arrange Ver.) [HARD],Andy Lee arranged by Saka-ROW組 arranged by ストロー/差分 赤い人,6087,5767 (94%),29878,4.9
SP★8,Progressive Breaks,platinum garden -another7+-,paraoka/bga-RED/ BANZAI,5693,4908 (86%),33320,5.85
SP★8,European-Latin,Bohemian Chic [SP INSANE],あるさん,5687,5137 (90%),28563,5.02
SP★8,古伝新韻二十打ち,白山比咩神 (ANOTHER),DWMω,4964,3911 (78%),31603,6.36
SP★8,DRUMSTEP,先手必勝戦闘機　鳳 -上昇-,Dr.A (BGA:八嶋 OBJ:三一),4886,4685 (95%),29317,6
SP★8,ENIGMA,UnFaked phantOm [EXTRA],sak,4770,4168 (87%),28389,5.95
SP★8,GOTH FANTASIA,樟葉(remix) [F],-45 remixed by SABREMISSILE / akusil(mov) obj:Fender,4640,3894 (83%),37197,8.01
SP★8,POPS / POST SOFT ROCK,マジョリテへの憧れとミノリテの矜持,dawn-system（黎明紀行） Vocal:ＯＲＩ姫 / BGA:石王マサト / obj : A,4410,3818 (86%),38437,8.71
SP★8,Hi-TECH FULL ON,Eisenschweif (SP Wahnsinnig),STASTA TEKINA / obj:krg,3952,3563 (90%),21473,5.43
SP★8,classic,ウィリアム・テル第4部「スイス軍隊の行進」 -MANIAC-,○△□ obj:krg,3906,3571 (91%),21793,5.57
SP★8,APOLLO,ミルキーベリー・スウィートタイム [Eb],ぽんきち / いい靴,3683,3483 (94%),23139,6.28
