レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★20,TRANCE CORE,Air -GOD-,SHIKI / black train,9807,4540 (46%),638657,65.12
SP★20,NU-STYLE GABBA,ひつぎとふたご [7KEY/LUNATIC],plastic feat.サキト / yuyuko,8183,3279 (40%),225800,27.59
SP★20,hard nrg,水晶世界 ～Fracture～ [yumether],秋山 澪 / obj:夢瑠,8029,4195 (52%),256276,31.91
SP★20,IntelligenceTerror,モリオンの姫 [yumether],wa. /obj:夢瑠,5780,2629 (45%),115874,20.04
SP★20,Ghetto Breaks,banana man [HIMUTHER],sa10/さ,5323,2377 (44%),92682,17.41
SP★20,H.H.P(one more mix),LOVE☆BEAM (orange summer mix) -ALITHER-,honey princess / ALICE*,5172,2315 (44%),151848,29.35
SP★20,SUKIMA TOUR,Yakumo >>JOINT STRUGGLE -EXTRA-,くっちーvsあっきー /obj あっりー,5130,2106 (41%),87854,17.12
SP★20,Rosso Phantasma,Ophelia [INFELNO],Lime /差分　赤い人,4978,3016 (60%),160641,32.27
SP★20,Trance　core(7key),Cold Breath (Another++),SHIKI / air,4596,3228 (70%),70111,15.25
SP★20,HARD TECHNO,Messier 333 (EX7),sun3 / BGA:Johnny / obj:ds,4501,2079 (46%),100495,22.32
SP★20,Game Music,ＤＱⅢ　Battle -Another-,あやめ♪ obj:ゾーマ,4207,2198 (52%),88633,21.06
SP★20,Sound Track,ERIS [BIFROST],Grand Thaw / obj:vese,4094,2995 (73%),47227,11.53
SP★20,RENAISSANCE,Ruins Ray (KF),kurena,3935,2274 (57%),42459,10.79
SP★20,hard nrg[EX],銀の風,wa. remixed celas / ds BGA:TOHRU MiTSUHASHi,3870,1999 (51%),79091,20.43
SP★20,WORLD CONTEMPORARY,煌舞姫ベアトリクス [INFERNO],Alicia* / BGA:Fleeting Lovely/ 差分 赤い人,3821,2932 (76%),47263,12.36
SP★20,happy hardcore,稲田姫様ご乱心 <bms edit> -Lunatic7-,東京アリス幻樂団/http://d.hatena.ne.jp/xki/,3689,2119 (57%),47854,12.97
SP★20,EURO-RAVE,Ruriko FINAL (LUNATIC),POSI-TRON!/yuyuko,3647,2338 (64%),58457,16.02
SP★20,tenac wave,Lamir (KF7),激辛マニア,3623,2616 (72%),41915,11.56
SP★20,HAPPY HARDCORE,Lewisia,daiki / BGA:chromato graphy / obj:秘密,3599,2737 (76%),96197,26.72
SP★20,Piano Shuffle,あなた -EX-,mitssi feat. SeeU/さ Movie: Sabhwa Note: LiTaNia,3472,1952 (56%),71760,20.66
SP★20,Connection,Blacksphere [Black Hole],Iriss-Frantzz obj support : Cymby,3470,2651 (76%),43242,12.46
SP★20,ああああ[SP SABOTHER],hypocrite,ああああ/ささささ,3388,2211 (65%),64369,18.99
SP★20,cut up,現実をカットアップしてみた [Realism],Yu^ta / obj:みっと,3341,2805 (83%),35974,10.76
SP★20,battle concerto,ピアノ狂騒曲第壱番「滅宴」 (KF7),にんにくマニア,3334,1620 (48%),36836,11.04
SP★20,A-EURO,英雄 ～氷の妖精のお話～ [INFELNO],Yu^ta /差分　赤い人,3319,2256 (67%),54360,16.37
SP★20,chiptune,彼女の言い分 -ﾋﾟｺﾋﾟｺedit- [INFELNO],ねこみみ魔法使い /差分　赤い人 for 柴崎芦花,3183,1774 (55%),74422,23.38
SP★20,ETHEREAL BREAKS ATMOSPHERIC,モノリスの園 [FRIDAY],LOKI / obj:JEYSON,2975,1595 (53%),21332,7.17
SP★20,IDOL SONG,恋の2-4-11(BMS Edit) -ケッコンカッコカリ-,Gun-SEKI feat.那珂 / U,2899,1962 (67%),55522,19.15
SP★20,HAPPY HARD CORE,乙女ノススメ！ (EX),悠然 / obj:BAECON,2893,1814 (62%),69122,23.89
SP★20,shuffle pop'n,弦月の猫 [EX],ねこみみ魔法使い for 御庭つみき / obj:Ds BGA:石王マサト,2808,2087 (74%),28225,10.05
SP★20,HARDCORE,硬核機動 -Assault X-,しらいし obj.sennko,2790,1899 (68%),47104,16.88
SP★20,Progressive,L9DM [FUC],paraoka / 29,2764,1501 (54%),54673,19.78
SP★20,fgWood,aballava (Clover?),Team:SASAKURATION  /  Goten　obj：mitsuba,2740,1801 (65%),37609,13.72
SP★20,Progressive Rock,MirroR -Miracle version-,dj-B,2706,1253 (46%),50675,18.72
SP★20,HAPPY HARDCORE,Rewinding Sound Wave -sugarless-,noctie* あ,2702,1573 (58%),41098,15.21
SP★20,la r/n g am/u ente,CHRISTMAS EVE [Another+],DESKJUGGLER,2098,1612 (76%),22770,10.85
SP★20,Electro Fusion,Complex path (bms edit -madness-),Vector27 vs Blue-J obj.swa,1804,1379 (76%),31071,17.22
