曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
ウサテイ(鬼),A3,190,657/11
患部で止まってすぐ溶ける～狂気の優曇華院(鬼),A3,100-200(-400),783/13
恋する☆宇宙戦争っ!!(鬼),A,200,739/25
最小三倍完全数(激),A20,55-440,672/6
世界の果てに約束の凱歌を -DDR Extended Megamix-(激),A20+,100-200(-400),706/41
東京神話(激),A20+,98-196,696/15
ドーパミン(激),2014,100-200(25-400),743/3
び(激),A20,169,743/16
ホーンテッド★メイドランチ(鬼),A20,188,666/5
未完成ノ蒸氣驅動乙女 (DDR Edition)(激),A20,85-170,706/48
ランカーキラーガール(激),A20,200,611/23
量子の海のリントヴルム(激),GP/A3,280,727/4
"Acid,Tribal & Dance (DDR EDITION)(鬼)",A3,71-286,609/16
AETHER(激),2014,192-384,704/6
Anti-Matter(激),X2,100-400,600/36
Avenger(激),A20,100-400,749/27
Be a Hero!(激),A,190,754/52
Black Emperor(激),A3,30-195,671/15
Catch Our Fire!(激),A,190,683/56
CHAOS Terror-Tech Mix(鬼),A,165,647/25
DEADLOCK -Out Of Reach-(激),A20+,205,666/24
Deep tenDon Reflex(鬼),A3,(180),633/68
ΔMAX(激),X2,100-573,573/110
ΔMAX(鬼),X2,100-573,595/60
DDR TAGMIX -LAST DanceR-(激),A20+,50-800,708/22
DIGITALIZER(激),A20+,180,613/20
DUAL STRIKER(激),A3,185,652/26
Elemental Creation(激),2013,106-424,789/22
Emera(鬼),A,161,563/54
Evans(激),A20+,185(-370),653/8
Fascination MAXX(激),SN,100-400,640/4
Glitch Angel(激),A20,165,553/43
Glitter Flatter Scatter(激),GP/A3,98-197,721/18
Idola(鬼),2014,201,681/55
JOMANDA(鬼),2014,90-600,644/24
Jucunda Memoria(激),A20+,(48.3-)145-290,678/6
Let's DANCE aROUND!!(鬼),A3,63-126(126),582/15
London EVOLVED ver.A(鬼),X3,(43-)170-340,599/2
London EVOLVED ver.B(鬼),X3,170-340(-420),652/53
London EVOLVED ver.C(鬼),X3,170-340,703/2
Magnetic(鬼),2013,40-160,645/85
MAX 300 (X-Special)(鬼),X,(12-)300,523/30
Megalara Garuda(激),GP/A3,90-180,654/18
New Century(激),A,98-195,629/28
New Decade(激),X2,100-400,508/40
New Era(激),A20,30-240,674/18
New Generation(鬼),2013,190,575/11
ORCA(激),A20,39-310,675/5
ΩVERSOUL(鬼),A20,155,656/11
PARANOiA (kskst mix)(激),X3,190,671/57
perditus†paradisus(激),GP/A3,172,781/25
Pluto Relinquish(激),SN2,100-800(-805),546/13
Pluto The First(激),X2,50-440,525/2
POSSESSION(激),X2,185-370,612/13
PRANA+REVOLUTIONARY ADDICT (U1 DJ Mix)(激),2014,190,743/8
Puberty Dysthymia(激),A,(67-)70-210,613/65
Pursuer(激),A,75-300,543/19
"Reach The Sky, Without you(激)",A,(48-)95-190,607/28
RЁVOLUTIΦN(鬼),2013,202,777/16
RISING FIRE HAWK(鬼),A,157,664/11
SABER WING (AKIRA ISHIHARA Headshot mix)(鬼),X,79-316,492/31
Spanish Snowy Dance(鬼),2013,180,726/32
The History of the Future(激),A20,100-200,652/2
The Legend of MAX (X-Special)(鬼),X,83-333(-666),527/17
Tohoku EVOLVED(激),X3,340(43-1020),656/17
Triple Counter(激),A,216,718/23
Triple Cross(激),A20+,196,664/10
TYPHØN(激),A20+,113-225,718/11
voltississimo(激),A20,113-225,621/33
ZETA ~素数の世界と超越者~(鬼),X2,90-180,811/89
IX(激),2014,99-396,753/25
