曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
最速最高シャッターガール(鬼),GP/A3,160,726/27
灼熱Beach Side Bunny(鬼),2014,153,756/5
シュレーディンガーの猫(鬼),A,187,788/7
スカーレット警察のゲットーパトロール24時(鬼),GP/A3,160,733/72
トランスダンスアナーキー(鬼),A3,195,920/57
嘆きの樹(鬼),2014,160,763/27
伐折羅-vajra-(鬼),GP/A3,87-173,891/9
バンブーソード・ガール(鬼),2014,208,681/49
び(鬼),A20,169,816/45
冥(鬼),X2,66-200,730/10
量子の海のリントヴルム(鬼),GP/A3,280,834/5
ACE FOR ACES(鬼),A,200(50-800),786/16
Air Heroes(鬼),2013,175,622/35
Anti-Matter(鬼),X2,100-400,700/30
Astrogazer(鬼),A,154,712/38
Avenger(鬼),A20,100-400,825/22
Battle Against a True Hero(鬼),A3,75-150,567/5(147)
Black Emperor(鬼),A3,30-195,754/26
Blew My Mind(鬼),2013,95-380,665/46(2)
CARTOON HEROES (20th Anniversary Mix)(鬼),A20,170,636/14(77)
Come to Life(鬼),A,90-180,730/70
Cosy Catastrophe(鬼),A,90-360,686/14
CRAZY♥LOVE(鬼),X3,89-177,736/55
"DEAD END -""GROOVE RADAR"" Special-(鬼)",SN2,95-380,479/75
DIGITALIZER(鬼),A20+,180,725/4(18)
EGOISM 440(激),2014,55-440(-880),620/10
Elemental Creation(鬼),2013,106-424,860/22
ENDYMION(激),A,220-440(110-880),783/22
Eon Break(鬼),A3,(179-358?),639/22
Fascination -eternal love mix-(鬼),SN,100-400,572/14
Fascination MAXX(鬼),SN,100-400,670/16
First Time(鬼),A,70-140(-560),554/11
Glitch Angel(鬼),A20,165,664/13
Go For The Top(鬼),X3,74-180(-409),622/40
Healing-D-Vision(鬼),SN,180-360,525/2
HyperTwist(鬼),A20+,190,727/23
Lachryma《Re:Queen’M》(激),A20,236,869/18
MAXX UNLIMITED (X-Special)(鬼),X,(48-)140-320,640/104
MAX 360(激),A,180-720,888/7
MAX.(period)(鬼),2014,150-600,601/15
Megalara Garuda(鬼),GP/A3,90-180,734/55
MEGALOVANIA(鬼),A3,120-240,581/115(116)
Neutrino(鬼),A,75-300,570/21
New Century(鬼),A,98-195,669/61(19)
New Decade(鬼),X2,100-400,543/49
New Era(鬼),A20,30-240,809/9
New Millennium(鬼),A3,60-300,800/33
NGO(鬼),SN2,68-274,418/10
Over The “Period”(激),2014,23-840,718/41
PARANOiA ~HADES~(鬼),SN2,75-300,662/1
PARANOiA Revolution(激),X3,180-360,679/20
Pluto Relinquish(鬼),SN2,100-800(-805),557/17
Pluto The First(鬼),X2,50-440,481/2(57)
POSSESSION(鬼),X2,185-370,643/37
POSSESSION (20th Anniversary Mix)(鬼),A,190-380,704/12(55)
Prey(激),A,210,633/10
Prey(鬼),A,210,435/46
SISYPHUS(鬼),A3,90-190,666/31
suspicions(激),A3,77-153,808/29
The World Ends Now(鬼),A20,200,713/11
Tohoku EVOLVED(鬼),X3,340(43-1020),690/46
Trigger(鬼),X,100-400,579/46
Triple Journey -TAG EDITION-(鬼),2013,96-192,720/12
TRIP MACHINE EVOLUTION(鬼),X3,190(95-380),668/32
UNBELIEVABLE (Sparky remix)(鬼),X3,88-175,715/27
Valkyrie dimension(激),X2,47-744,632/29
VOLAQUAS(激),A3,106-212,887/17
888(鬼),X2,111-888(111-444),753/25
IX(鬼),2014,99-396,753/49
