曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
お米の美味しい炊き方、そしてお米を食べることによるその効果。(激),2013,190,679/6
朧 (dj TAKA Remix)(鬼),A,149,616/31
キヤロラ衛星の軌跡(激),A3,150,613/64
最終鬼畜妹フランドール・Ｓ(激),A20,200,737/36
最速最高シャッターガール(激),GP/A3,160,564/39
灼熱 Pt.2 Long Train Running(激),A20+,165,696/35
隅田川夏恋歌(鬼),X3,180,585/24
打打打打打打打打打打(鬼),A,156,618/16
轟け！恋のビーンボール！！(激),2014,180,573/1
トランスダンスアナーキー(激),A3,195,749/57
ナイト・オブ・ナイツ(鬼),A,180,712/11
ナイト・オブ・ナイツ (Ryu☆Remix)(激),A20,182,782/8
†渚の小悪魔ラヴリィ～レイディオ†(激),2013,190,573/24
嘆きの樹(激),2014,160,666/16
なだめスかし Negotiation(鬼),A20+,150,436/13
ノープラン・デイズ(激),A20+,210,655/13
伐折羅-vajra-(激),GP/A3,87-173,630/9
斑咲花(激),A3,134-201,594/54
冥(激),X2,66-200,616/12
めうめうぺったんたん！！(鬼),2013,185,676/29
メンタンピンドラドラ(激),A3,93-185,496/31
ラクガキスト(鬼),2014,199,710/2
リリーゼと炎龍レーヴァテイン(激),A3,200,643/12
海神(激),2014,159,596/29
Ability(激),A3,154,514/41
actualization of self (weaponized)(激),A20+,175,623/8
Aftermath(激),A20+,200,694/14
AI(激),A20+,190,479/69
ALBIDA(激),GP/A3,185,572/14
ALPACORE(激),A20,175,566/10
ANNIVERSARY ∴∵∴ ←↓↑→(激),A,180,654/16
Another Phase(鬼),2013,160,542/6(41)
AWAKE(鬼),2014,180,622/33
Blew My Mind(激),2013,95-380,584/17
BLSTR(激),A20,160,587/36
Boss Rush(激),A,95-190,721/15
BREDLI(激),A3,128,627/49
BUTTERFLY (20th Anniversary Mix)(鬼),A20,140,626/21
CARTOON HEROES (20th Anniversary Mix)(激),A20,170,546/8
CHAOS(鬼),SN,170,405/9
chaos eater(激),2014,105-210,588/3
Chinese Snowy Dance(激),2013,175,594/35
Come to Life(激),A,90-180,611/31
Come To m1dy(激),A3,113-450,623/7
Concertino in Blue(激),A3,103-155,519/11
Cosy Catastrophe(激),A,90-360,550/9
DDR MEGAMIX(鬼),A,65-333,731/38
District of the Shadows(激),A20,150,547/10
Draw the Savage(鬼),A20+,134,378/133
Eon Break(激),A3,(179-358?),622/8
Fascination -eternal love mix-(激),SN,100-400,588/6
Firestorm(激),A20,177,492/36
Firestorm(鬼),A20,177,431/8(122)
Fleur(激),A3,180,597/21
GAIA(激),2013,90-180,670/0
GERBERA(激),A3,102-205,731/31
Get it(激),A3,174,566/20
Give Me(鬼),A20,174,577/10
glacia(激),GP/A3,186,624/15
GLITTER(激),GP/A3,182,651/51
Golden Arrow(激),A20,170,567/35
Good Sound United(激),A3,100-200,659/6
Grip & Break down !!(鬼),A,160,656/13
GROOVE 04(激),A3,155,520/26
HAPPY☆ANGEL(鬼),SN,180,593/33
HAPPY☆LUCKY☆YEAPPY(激),2014,190-380,526/8
Helios(激),A20,182,587/47
High & Low(激),A20+,210,600/22
Idola(激),2014,201,653/28
Illegal Function Call(激),A,130-260,699/12
I Love You(激),A20,170,673/19
I'm so Happy(鬼),X2,181,535/16
In the past(激),A20+,81-162,490/13
Ishtar(鬼),A,156,481/58(56)
Jungle Dance(激),A3,155,603/27
KHAMEN BREAK(激),2014,90-180,638/15
KING(激),A3,166,633/16
Last Twilight(激),A20+,198,650/30
Life is beautiful(激),A,155,616/37
Lightspeed(激),A20+,200,580/10
LOVE SHINE (Body Grooverz 2006 mix)(激),GP/A3,177,605/4
Love You More(激),A,175,622/17
MAXX UNLIMITED(激),MAX2,(48-)140-320,555/56
MAX 300 (Super-Max-Me Mix)(鬼),SN,140-320,610/62
MAX.(period)(激),2014,150-600,573/3
Megalara Garuda(踊),GP/A3,90-180,593/17
MEGALOVANIA(激),A3,120-240,533/120(36)
ｍｅｍｏｒｙ／／ＤＡＴＡＭＯＳＨＥＲ(激),A3,115-460,618/5
Monkey Business(鬼),2013,80-160,651/52
Neutrino(激),A,75-300,499/24
Never See You Again(激),A20+,80-160,672/25
New York EVOLVED (Type A)(激),X3,48-380(95-380),573/88
New York EVOLVED (Type B)(激),X3,48-380(48-190),561/23
New York EVOLVED (Type C)(激),X3,48-380(48-190),523/16
Not Alone(激),A3,155,539/3
on the bounce(鬼),X,150,482/20
out of focus(鬼),A,84-167,572/4
PANIC HOLIC(激),A20+,110-220,590/16
PARANOiA ~HADES~(激),SN2,75-300,522/1
PARANOiA -Respect-(激),SN,300,555/18
PARANOIA survivor MAX(鬼),EXT,(73-)145-290,613/4
Pierce The Sky(鬼),X2,85-170,598/15
Pluto(鬼),SN2,50-220,516/10
Poochie(激),A,110-220,627/32
POSSESSION (20th Anniversary Mix)(激),A,190-380,647/19
POSSESSION(EDP Live Mix)(激),2014,185,604/21
PRANA(鬼),2013,188,582/7
Programmed Universe(鬼),X3,37-147,542/26
Rampage Hero(激),A20,175,542/19
Rave Accelerator(激),A20+,170,583/20
Rave in the Shell(激),A3,75-300,557/23
REVOLUTIONARY ADDICT(鬼),X3,174(-696),591/18
Riot of Color(激),A20+,75-150,501/36
ROCK THE PARTY(激),A3,128,715/31
Sakura Sunrise(鬼),X2,181,507/40
SCHWARZSCHILD FIELD(激),A20+,150,604/27
Sector(激),A3,80-160,555/30
Shiny World(鬼),X2,(25-)100,426/6
S!ck(激),A,88-177,648/58
snow prism(鬼),X3,196,547/13
Somehow You Found Me(鬼),2013,180,606/19
Splash Gold(激),A20,75-300,639/79
Starlight in the Snow(鬼),A20,150,490/21(64)
Start a New Day(鬼),A,168,578/6
STAY GOLD(激),A3,41-330,497/21
Step This Way(激),A20+,176,600/7
SURVIVAL AT THE END OF THE UNIVERSE(激),A3,150-200,679/37
SWEET HOME PARTY(激),A20,(70-)134-180,449/14
Sword of Vengeance(激),A20+,208,707/14
TAKE ME HIGHER※A3(激),A3,140-175,509/10
The World Ends Now(激),A20,200,625/14
tokyoEVOLVED (TYPE1)(激),X3,70-280(-560),523/6
tokyoEVOLVED (TYPE2)(激),X3,70-280(-560),522/6
tokyoEVOLVED (TYPE3)(激),X3,70-280(-560),492/6
toy boxer(激),A20,190,573/8
Trigger(激),X,100-400,490/28
Trill auf G(激),A20,188,666/17
Trim(激),SN2,85-340,467/27
Triple Journey -TAG EDITION-(激),2013,96-192,611/11
TRIP MACHINE EVOLUTION(激),X3,190(95-380),584/15
TRIP MACHINE (xac nanoglide mix)(激),X3,170,590/64
Truare!(激),2014,183,549/5
True Blue(激),2014,164,604/10
VALLIS-NERIA(激),GP/A3,185,660/29
VANESSA(激),X2,185,532/9
Vanquish The Ghost(激),A,78-155(-310),525/25
We're so Happy(激),A20+,185,698/7
Wow Wow VENUS(鬼),2013,157,647/12
