曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
妖隠し -あやかしかくし-(踊),2014,85,448/16
アルストロメリア (walk with you remix)(激),X3,148,370/12
怒れる大きな白い馬(激),SN,110-148,347/5
色は匂へど散りぬるを(激),A,138,329/24
↑↑↓↓←→←→BA(踊),A3,124,291/44
ウサテイ(踊),A3,190,328/15
ウソツキ横丁は雨模様(激),A20+,110,407/23
梅雪夜(踊),A20+,167,333/24
エキサイティング!!も・ちゃ・ちゃ☆(踊),A,187,325/14
おねがいダーリン(激),A,180,435/17
朧(激),A,149,379/44
革命(鬼),MAX2,83-148,317/7
カラフルミニッツ(激),GP/A3,152,291/17
患部で止まってすぐ溶ける～狂気の優曇華院(踊),A3,100-200,415/22
きゅん×きゅんばっきゅん☆LOVE(激),A,165,436/4
鏡花水月楼 (DDR EDITION)(踊),GP/A3,175,341/7
狂水一華(踊),A20+,160,342/16
倉野川音頭(激),A,113,330/2
恋(激),A20+,158,304/19
恋のパズルマジック(激),A,140,302/2
恋はどう？モロ◎波動OK☆方程式！！(踊),2014,128-256,363/21
ここからよろしく大作戦143(激),A20+,184,454/26
この青空の下で(激),A,165,407/4
サイカ(激),A20+,110,268/7
最小三倍完全数(楽),A20,55-440,270/6
雑草魂なめんなよ！(激),A20+,145,217/10
桜(踊),EXT,20-320,345/3
桜(鬼),EXT,20-320,356/1
漆黒のスペシャルプリンセスサンデー(踊),2014,200,380/20
しゃかりきリレーション(激),A,167,400/13
灼熱Beach Side Bunny(踊),2014,153,415/8
スーパー戦湯ババンバーン(踊),A20+,94-187,389/36
スカーレット警察のゲットーパトロール24時(踊),GP/A3,160,292/50
零 -ZERO-(激),X,90-180,384/29
打打打打打打打打打打(踊),A,156,342/15
チュッチュ♪マチュピチュ(踊),A3,160,329/2
追憶のアリア(激),A20+,130,303/17
突撃!ガラスのニーソ姫!(踊),2014,185,348/32
轟け！恋のビーンボール！！(踊),2014,180,357/8
ナイト・オブ・ナイツ(踊),A,180,400/2
†渚の小悪魔ラヴリィ～レイディオ†(踊),2013,190,379/36
なだめスかし Negotiation(激),A20+,150,296/12
ナナホシ(踊),GP/A3,166,328/18
虹色(激),SN,160,328/0
虹色の花(激),2013,170,400/22
ノルエピネフリン(踊),A20+,124,375/22
爆なな☆てすとロイヤー(踊),2014,200,391/11
華爛漫 -Flowers-(激),SN,160,348/1
ハピ恋☆らぶりぃタイム!!(激),A,139,361/7
パピポペピプペパ(踊),A20+,187,412/24
ハラショー！おにぎりサーカス団☆(踊),A20+,185,348/13
ハルイチバン(激),A,180,356/44
バンブーソード・ガール(踊),2014,208,406/16
ヒカリユリイカ(激),A20,140,358/20
ヒマワリ(激),SN,185,370/2
ホーンテッド★メイドランチ(踊),A20,188,335/15
星屑のキロク(激),2014,182,355/46
魔法のたまご ～心菜 ELECTRO POP edition～(激),A,142,327/1
ミッドナイト☆WAR(踊),A20,156,393/18
みゅ、みゅ、Müllる(踊),A3,150,321/12
夢幻ノ光(激),SN,171,331/25
冥(踊),X2,66-200,443/8
メンタンピンドラドラ(踊),A3,93-185,328/4
モノクロモーメント(踊),A20+,155,388/7
ヤマトなでなで♡かぐや姫(激),2014,160,321/20
勇猛無比(踊),A20+,201,409/29
凛として咲く花の如く～ひなビタ♪edition～(激),2013,163,411/30
恋閃繚乱(激),X3,142,327/7
惑星☆ロリポップ(踊),A3,180,356/40
私をディスコに連れてって TOKYO(踊),A20+,142,392/13
A(激),EXT,93-191,329/3
Ability(踊),A3,154,300/7
ABSOLUTE(激),5th,(38-)144,311/0
"Acid,Tribal & Dance (DDR EDITION)(踊)",A3,71-286,299/5
Afterimage d'automne(踊),A20,232,310/30
A Geisha's Dream(激),X,140,340/30
Air Heroes(踊),2013,175,306/40
ALGORITHM(踊),A,130,319/5
AM-3P(激),2nd,130,244/0
Angelic Jelly(踊),A,100-200,402/8
Another Phase(踊),2013,160,333/5
Anti-Matter(楽),X2,100-400,333/21
Are U Ready(踊),A3,155,338/13
Arrabbiata(楽),SN2,225,310/0
Awakening Wings(激),A3,190,324/9
bag(踊),EXT,65,208/0
Baile Le Samba(激),SN,92,215/23
Beluga(激),A3,132,319/22
BLACK JACKAL(踊),A20,150,376/11
BLAKE(踊),A20+,205,380/28
Bloody Tears (IIDX EDITION)(激),SN2,170,265/0
Blue Rain(激),X,144,298/16
Bounce Trippy(踊),A20,185,375/14
BRILLIANT 2U (AKBK MIX)(踊),X3,162,392/13
CANDY☆(激),MAX,192,327/29
CAN'T STOP FALLIN' IN LOVE(激),4th,155,328/0
CELEBRATE NITE(激),4th,144,277/0
CELEBRATE NITE (EURO TRANCE STYLE)(鬼),MAX2,144,288/2
Children of the Beat(激),2013,160,369/18
Cleopatrysm(踊),2014,190,345/15
Closer to my Heart (jun remix)(踊),GP/A3,145,310/48
Come Back To Me(踊),A20+,172,344/13
Come To m1dy(楽),A3,113-450,329/10
Crystarium(踊),A3,130,378/12
CyberConnect(踊),A20,150,339/36
Dance Celebration(激),X,130,330/10
Dance Partay(激),2014,135,294/8
DANCERUSH STARDOM ANTHEM(激),A20+,130,355/10
Dazzlin' Darlin(激),X2,149,342/7
Dazzlin' Darlin -秋葉工房mix-(激),X2,160,389/1
DDR TAGMIX -LAST DanceR-(楽),A20+,50-800,374/38
Death by Glamour(踊),A3,148,?/?(?)
Debug Dance(踊),A3,151,333/14
Decade(激),X2,148,282/23
Deep tenDon Reflex(踊),A3,180,368/15
DIABLOSIS::Nāga(楽),A3,200,334/41
dirty digital(激),X2,140,252/5
DIVE TO THE NIGHT(激),MAX2,155,341/1
Dragon Blade(激),SN,240,395/1
dreaming can make a wish come true(激),X3,143,326/10
Dream Machine(激),X,140,305/10
DROP(激),X2,152,348/31
D2R(激),MAX2,160,327/7
ECSTASY (midnight blue mix)(鬼),MAX2,145(-150),262/6
Elemental Creation(楽),2013,106-424,438/24
Elysium(激),2014,145,280/53
Emera(踊),A,161,305/17
Empathetic(踊),2013,180,417/11
era (nostalmix)(激),4th,90-180,356/0
Far east nightbird kors k Remix -DDR edit ver-(踊),A,175,312/11
Fascination -eternal love mix-(楽),SN,100-400,288/6
Fascination MAXX(楽),SN,100-400,272/9
FIRE(激),SN2,184,345/7
First Time(踊),A,70-140(-560),303/8
Fly away(激),SN,125,330/3
Follow Tomorrow(激),2014,140,387/4
Freedom(激),SN,148,291/7
GENOM SCREAMS(激),2nd,150,238/0
Get On Da Floor(激),A20,140,336/21
Globe Glitter(踊),A20+,190,418/17
Go↓Go↑Girls&Boys!(激),2014,158,351/17
going up(鬼),X2,212,352/0(46)
Grand Chariot(踊),A,191,383/17
GROOVE 04(踊),A3,155,347/17
HAVE YOU NEVER BEEN MELLOW (20th Anniversary Mix)(激),A20,130,330/21
Healing Vision(激),5th,49-196,353/0
Healing Vision (Angelic mix)(踊),MAX,49-196,377/0
HEART BEAT FORMULA (Vinyl Mix)(踊),2014,115,301/24
Heavens and the Earth(激),A3,70,273/22
HIGHER (next morning mix)(鬼),MAX2,132,284/3
Holic(激),4th,155,313/0
Hyper Bomb(踊),A20+,160,326/17
HYSTERIA(激),4th,190,303/0
I'm an Albatraoz(激),A20,128,310/13
IMANOGUILTS(踊),2014,184,412/3
Inner Spirit -GIGA HiTECH MIX-(踊),A20+,150,381/24
In The Air(激),X3,140,290/3
In The Breeze(激),2014,123-142,303/7
INTO YOUR HEART (Ruffage remix)(激),X,135,301/10
invisible rain(激),A,58-97,264/10
I/O(激),X3,151,367/15
Ishtar(踊),A,156,306/25
Jam&Marmalade(激),SN,145,212/13
jet coaster☆girl(踊),A20+,177,310/8
JET WORLD(激),EXT,138,325/11
JOKER(激),2013,160,375/28
KEEP ON MOVIN' (DMX Mix)(激),SN,132,307/31
KHAMEN BREAK(踊),2014,90-180,423/17
LA BAMBA(激) ※EXTREME初出,EXT,179,305/10
La Bamba(激) ※SuperNOVA初出,SN,156,328/1
L'amour et la liberté (Darwin&DJ Silver remix)(激),SN2,70-140,340/1
La receta(激),X2,130,339/11
Leaving...(激),X2,145,305/9
Let Me Know(踊),A3,75-150,325/10
Let Me Show You(踊),A3,170,368/14
Let's DANCE aROUND!!(踊),A3,63-126,283/68
little steps(踊),A3,155,296/12
LOGICAL DASH(激),SN,144,224/18
London EVOLVED ver.A(踊),X3,(43-)170-340,337/1
London EVOLVED ver.B(踊),X3,170-340(-420),376/8
London EVOLVED ver.C(踊),X3,170-340,391/4
LOVE AGAIN TONIGHT (For Melissa MIX)(激),4th,150,306/0
LOVE IS ORANGE(鬼),SN,180,327/8
Love♡Shine わんだふるmix(激),A,177,331/22
LOVE THIS FEELIN'(激),3rd,95-190,242/0
LOVING YOU (Epidemik remix)(激),X,165,306/26
Magnetic(踊),2013,40-160,383/49
MAKE IT BETTER(激),1st,119,212/0
MANA(踊),A3,97-195,433/24
MARIA (I believe...)(激),SN,158,277/10
MARS WAR 3(激),SN2,200,389/16
MAX LOVE(激),X2,180,454/3
Melody Life(鬼),X2,172,328/10(42)
Mermaid girl(激),X3,140,368/0
message(激),X3,152,320/20
murmur twins(激),SN,174,325/7
MUTEKI BUFFALO(踊),A20+,88-176,362/7
Music In The Rhythm(激),SN2,155,377/15
neko*neko(激),2014,123,397/18
New Beginning(激),X3,148,343/34
New Decade(楽),X2,100-400,324/48
New Era(楽),A20,30-240,339/16
Next Phase(踊),A20+,174,437/8
No Life Queen [DJ Command Remix](踊),A20+,165,435/4
Nostalgia Is Lost(踊),2014,172,386/20
