曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
妖隠し -あやかしかくし-(激),2014,85,632/21
阿波おどり -Awaodori- やっぱり踊りはやめられない(激),2014,120-260,474/5
ウサテイ(激),A3,190,494/3
梅雪夜(激),A20+,167,475/15
革命 (X-Special)(鬼),X,83-148,378/21
患部で止まってすぐ溶ける～狂気の優曇華院(激),A3,100-200,643/5
鏡花水月楼 (DDR EDITION)(激),GP/A3,175,483/13
黒髪乱れし修羅となりて～凛 edition～(激),A,150,566/5
恋する☆宇宙戦争っ!!(激),A,200,652/26
恋はどう？モロ◎波動OK☆方程式！！(激),2014,128-256,517/36
この子の七つのお祝いに(激),SN,161,458/4
最小三倍完全数(踊),A20,55-440,496/6
シル・ヴ・プレジデント(鬼),A3,176,472/5
新蛇姫(踊),A3,115-230,515/15
スーパー戦湯ババンバーン(激),A20+,94-187,595/27
世界の果てに約束の凱歌を -DDR Extended Megamix-(踊),A20+,100-200(-400),521/16
セツナトリップ(激),2014,145,519/11
ちくわパフェだよ☆CKP(鬼),2013,205,509/6
チュッチュ♪マチュピチュ(激),A3,130,486/2
ドキドキ☆流星トラップガール!!(激),2014,140,506/15
突撃!ガラスのニーソ姫!(激),2014,185,477/18
夏色DIARY -DDR mix-(激),2014,160,563/7
ノルエピネフリン(激),A20+,124,562/28
ハラショー！おにぎりサーカス団☆(激),A20+,185,516/31
不沈艦CANDY(激),X2,94-188,570/14
ほしのつくりかた(激),A20+,180,395/3
ポッピンキャンディ☆フィーバー！(激),A3,190,524/34
マインド･ゲーム(激),2014,180,509/28
ミッドナイト☆WAR(激),A20,156,496/20
モノクロモーメント(激),A20+,155,545/23
野球の遊び方 そしてその歴史 ～決定版～(激),2014,141,432/16
ヤマトなでなで♡かぐや姫(鬼),2014,160,427/51
勇猛無比(激),A20+,201,573/25
羊皮紙の上の銀河(激),A3,196,502/108
ラブキラ☆スプラッシュ(激),A20,152,453/39
量子の海のリントヴルム(踊),GP/A3,280,473/16
恋愛観測 -2021真夏のエンディング ver.-(激),A3,188,545/18
ロールプレイングゲーム(激),A,162,527/14
私をディスコに連れてって TOKYO(激),A20+,142,536/27
Ace out(激),A20,135-145,442/11
Ace out(鬼),A20,135-145,340/7(91)
"Acid,Tribal & Dance (DDR EDITION)(激)",A3,71-286,419/14
ACROSS WORLD(鬼),2013,185,419/26
Adularia(激),2014,180,427/20
AETHER(踊),2014,192-384,551/23
Afterimage d'automne(激),A20,232,455/22
"AM-3P -""CHAOS"" Special-(鬼)",SN2,130,309/4
Anti-Matter(踊),X2,100-400,444/41
Avenger(踊),A20,100-400,534/2
BITTER CHOCOLATE STRIKER(激),A20+,165,560/9
Black Emperor(踊),A3,30-195,507/11
BLAKE(激),A20+,200,538/31
Blue Rain(鬼),X,144,482/5
Boss Rush(踊),A,95-190,545/23
Bounce Trippy(激),A20,185,565/14
BREAKING THE FUTURE(踊),A3,45-360,541/45
"B4U -""VOLTAGE"" Special-(鬼)",SN2,155,367/0
CANDY (UFO mix)(激),A3,180,479/28
CARTOON HEROES (20th Anniversary Mix)(踊),A20,170,415/13
CHAOS(激),SN,170,321/5
Chronos (walk with you remix)(激),A,74-148,553/8
Closer to my Heart (jun remix)(激),GP/A3,145,436/48
Come Back To Me(激),A20+,172,482/8
Come Back to Me (Feel It)(激),A3,165,389/23
concon(激),A3,190,553/22
Confession(鬼),2013,150,473/21
Cytokinesis(激),A,111-280,481/7
Daily Lunch Special(激),2014,205,547/44
DDR TAGMIX -LAST DanceR-(踊),A20+,50-800,540/51
Dead Heat(激),A20,177,366/22
