曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
蒼が消えるとき(激),A20+,162,408/24
阿波おどり -Awaodori- やっぱり踊りはやめられない(踊),2014,120-260,334/9
いーあるふぁんくらぶ(激),A,145,350/29
イーディーエム・ジャンパーズ(激),A,72-145,336/47
一途(踊),A3,160,412/7
↑↑↓↓←→←→BA(激),A3,124,308/67
エイリアンエイリアン(激),A,152,484/35
エンドルフィン(踊),2014,160,386/7
おーまい！らぶりー！すうぃーてぃ！だーりん！(踊),A20,170,366/22
お米の美味しい炊き方、そしてお米を食べることによるその効果。(踊),2013,190,516/7
御千手メディテーション(踊),2014,150-190,385/21
朧 (dj TAKA Remix)(激),A,149,405/20
革命(激),MAX2,83-148,371/7
からふるぱすてる(激),2013,186,422/25
君氏危うくも近うよれ(激),A,162,360/7
キヤロラ衛星の軌跡(踊),A3,150,408/41
幻想系世界修復少女(激),2014,193,387/27
恋時雨(激),A,185,407/11
恋する☆宇宙戦争っ!!(踊),A,200,493/23
恋の氷結おてんば湯けむりチルノ温泉(踊),GP/A3,57-188,391/11
紅焔(激),X3,175,420/19
最速最高シャッターガール(踊),GP/A3,160,429/20
サナ・モレッテ・ネ・エンテ(激),5th,90,294/0
さよならトリップ ～夏陽 EDM edition～(激),A,135,313/19
至上のラトゥーリア(激),A20+,135,376/23
雫(激),X3,210,397/45
シュレーディンガーの猫(踊),A,187,411/13
シル・ヴ・プレジデント(激),A20+,176,375/6
スカイクラッドの観測者(激),A20+,167,358/44
ずっとみつめていて (Ryu☆Remix)(激),2013,160,352/7
隅田川夏恋歌(激),X3,180,484/0
星座が恋した瞬間を。(激),A,186,462/13
晴天Bon Voyage(激),2013,230,361/65
千年ノ理(激),A,153,406/10
大見解(激),EXT,143-172,425/16
男々道(激),SN,156-160,365/0
ちくわパフェだよ☆CKP(激),2013,205,378/10
チョコレートスマイル(激),2014,196,394/16
テレキャスタービーボーイ(激),A20+,182,354/75
天空の華(踊),2014,90-180,344/10
天上の星～黎明記～(激),X3,85-170,336/38
どきドキ バレンタイン(激),A20,169,442/50
とこにゃつ☆トロピカル(踊),A3,132,345/23
嘆きの樹(踊),2014,160,444/24
ノープラン・デイズ(踊),A20+,210,473/39
伐折羅-vajra-(踊),GP/A3,87-173,374/13
花は折りたし梢は高し(激),A20+,215,358/13
はなまるぴっぴはよいこだけ(激),2014,172,299/1
